t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,93,0,,
0.020029,93,,,
0.030091,93,,,
0.036826,93,,,
0.050962,93,,,
0.061952,93,,,
0.068485,93,,,
0.081655,93,,,
0.093785,93,0,,
0.112333,93,,,
0.123175,93,,,
0.130845,93,,,
0.143930,93,,,
0.154978,93,,,
0.161508,93,,,
0.174401,93,,,
0.186265,93,0,,
0.205111,93,,,
0.222606,93,,,
0.236758,93,,,
0.247831,96,,,
0.254343,96,,,
0.267427,96,,,
0.279405,110,,,
0.286958,110,21,,
0.310010,140,,,
0.316653,140,,,
0.329676,140,,,
0.340459,192,,,
0.347073,192,,,
0.360112,227,,,
0.372182,227,,,
0.379940,227,7,,
0.402833,275,,,
0.409344,275,,,
0.422347,320,,,
0.433166,320,,,
0.440780,320,,,
0.453912,368,,,
0.464759,368,,,
0.471233,368,2,,
0.494800,409,,,
0.501295,409,,,
0.515487,463,,,
0.526492,463,,,
0.533194,463,,,
0.546316,504,,,
0.558308,504,,,
0.564926,504,-3,,
0.587959,550,,,
0.594549,581,,,
0.608566,581,,,
0.619575,581,,,
0.626145,631,,,
0.639258,631,,,
0.651227,631,,,
0.658752,675,-2,,
0.681143,675,,,
0.688682,717,,,
0.701990,717,,,
0.713039,717,,,
0.720062,769,,,
0.732047,769,,,
0.744283,810,,,
0.750946,810,-8,,
0.775179,855,,,
0.781706,855,,,
0.794641,855,,,
0.805453,904,,,
0.811840,904,,,
0.825274,904,,,
0.837336,950,,,
0.843832,950,-7,,
0.862119,950,,,
0.868587,992,,,
0.874960,992,,,
0.886832,992,,,
0.898572,1038,,,
0.905042,1038,,,
0.918043,1038,,,
0.930048,1087,-4,,
0.949725,1087,,,
0.962038,1134,,,
0.968605,1134,,,
0.980460,1169,,,
0.992441,1169,,,
0.999095,1169,,,
1.011073,1218,,,
1.023045,1218,-3,,
1.042636,1261,,,
1.054482,1261,,,
1.060899,1261,,,
1.072919,1308,,,
1.085006,1308,,,
1.091769,1308,,,
1.103596,1356,,,
1.110116,1356,8,,
1.123209,1356,,,
1.135173,1400,,,
1.146922,1400,,,
1.154438,1400,,,
1.167533,1431,,,
1.178381,1431,,,
1.184842,1431,,,
1.196682,1454,17,,
1.209854,1454,,,
1.217463,1449,,,
1.229244,1449,,,
1.240034,1449,,,
1.246490,1452,,,
1.259359,1452,,,
1.271296,1452,,,
1.277838,1448,11,,
1.301576,1448,,,
1.307946,1453,,,
1.321987,1453,,,
1.332766,1453,,,
1.339167,1448,,,
1.353363,1448,,,
1.364159,1454,,,
1.370651,1454,17,,
1.395294,1447,,,
1.401831,1447,,,
1.414706,1447,,,
1.425490,1454,,,
1.431927,1454,,,
1.445980,1454,,,
1.457122,1447,,,
1.463732,1447,11,,
1.487740,1454,,,
