speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,100,5,46.0,50.4,15.0,38.5,64.5,33.0,78.0,146.0,0
25,1000,5,56.0,57.8,34.9,29.5,87.0,6.0,116.0,1056.0,0
