speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,250,5,25.0,25.2,6.0,19.5,31.0,19.0,36.0,275.0,0
25,500,5,39.0,42.2,9.6,33.0,53.0,28.0,54.0,539.0,0
25,750,5,71.0,72.0,13.2,59.0,85.5,56.0,94.0,821.0,0
25,1000,5,92.0,103.0,76.3,42.0,169.5,7.0,241.0,1092.0,0
