n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
6,3,abrir,268,271,1498,1492,-6,1003,786,-217,14/0,12/0,42,0
4,3,cerrar,268,265,1498.0,1501.0,3.0,994,1081,87,14/0,11/0,42,0
2,3,cerrar,268,265,1496,1501,5,970,1085,115,12/4,16/0,42,0
0,3,abrir,268,271,1498.0,1492,-6.0,966,789,-177,12/1,16/0,42,0
4,2,cerrar,268,266,1498.0,1501,3.0,896,1035,139,18/0,9/0,42,0
1,2,abrir,268,270,1498,1492,-6,968,777,-191,10/0,14/0,42,0
8,5,cerrar,268,263,1498,1506,8,900,1191,291,13/0,14/0,42,0
1,1,abrir,268,269,1496.0,1494,-2.0,859,779,-80,17/4,15/4,42,0
6,5,cerrar,268,263,1498,1506,8,840,1162,322,7/0,10/0,42,0
1,3,cerrar,268,265,1496,1501,5,848,981,133,16/4,10/0,42,0
5,5,abrir,268,273,1498,1488.0,-10.0,849,557,-292,16/0,20/1,42,0
8,1,cerrar,268,267,1497,1499.0,2.0,823,862,39,10/0,15/0,42,0
7,2,abrir,268,270,1498,1492,-6,856,696,-160,16/0,18/1,42,0
9,2,cerrar,268,266,1498.0,1501,3.0,838,941,103,8/0,12/0,42,0
1,1,cerrar,268,267,1499,1499.0,0.0,893,895,2,15/1,13/0,42,0
4,1,abrir,268,269,1498,1493.0,-5.0,877,772,-105,9/1,15/7,42,0
2,3,abrir,268,271,1499,1491,-8,836,697,-139,9/1,17/3,42,0
9,3,abrir,268,271,1498,1491,-7,836,696,-140,10/0,18/2,42,0
3,5,cerrar,268,263,1498,1505,7,831,1149,318,4/2,17/0,42,0
8,1,abrir,268,269,1495.0,1493.0,-2.0,850,731,-119,14/6,14/3,42,0
7,3,cerrar,268,265,1499,1501,2,810,943,133,16/0,14/1,42,0
2,1,cerrar,268,267,1495,1499.0,4.0,853,884,31,13/8,11/0,42,0
8,5,abrir,268,273,1498.0,1487.0,-11.0,860,531,-329,9/0,10/3,42,0
4,5,abrir,268,273,1497.0,1487,-10.0,803,544,-259,16/1,19/4,42,0
3,2,cerrar,268,266,1498,1501,3,802,936,134,8/1,15/1,42,0
7,1,cerrar,268,267,1499,1500,1,881,895,14,9/0,10/0,42,0
0,1,abrir,268,269,1498,1496,-2,872,781,-91,7/1,6/2,42,0
0,5,cerrar,268,263,1499,1506,7,844,1144,300,22/0,9/0,42,0
6,2,cerrar,268,266,1496.0,1501,5.0,871,914,43,13/7,11/0,42,0
5,1,abrir,268,269,1498.0,1493.0,-5.0,861,730,-131,10/4,14/5,42,0
5,3,abrir,268,271,1498,1491,-7,796,643,-153,8/0,13/1,42,0
1,5,abrir,268,273,1499.0,1489,-10.0,808,578,-230,17/0,13/0,42,0
5,2,cerrar,268,266,1499.0,1501.0,2.0,830,912,82,12/0,12/0,42,0
7,5,abrir,268,273,1499,1489.0,-10.0,871,583,-288,9/0,2/2,42,0
0,1,cerrar,268,267,1498,1499.0,1.0,789,828,39,14/2,11/1,42,0
3,1,cerrar,268,267,1498.0,1499,1.0,826,839,13,12/0,16/2,42,0
6,1,abrir,268,269,1499,1494,-5,834,747,-87,19/3,18/8,42,0
6,5,abrir,268,273,1498,1489.0,-9.0,810,591,-219,10/3,12/0,42,0
8,2,cerrar,268,266,1498.0,1501,3.0,784,889,105,7/1,13/0,42,0
9,5,abrir,268,273,1498.0,1489.0,-9.0,858,591,-267,13/2,8/0,42,0
8,3,cerrar,268,265,1498.0,1501,3.0,791,940,149,12/1,8/1,42,0
3,1,abrir,268,269,1499.0,1493,-6.0,880,744,-136,8/1,13/8,42,0
0,3,cerrar,268,265,1499,1501.0,2.0,861,942,81,8/0,17/0,42,0
9,2,abrir,268,270,1499.0,1491.0,-8.0,887,655,-232,11/1,13/1,42,0
