t_s,fresh_pos,fresh_force,pos0,pos1,pos2,pos3,pos4,pos5,force0,force1,force2,force3,force4,force5,cur
2.712916,1,1,93,60,96,117,245,50,0,0,0,52,0,0,69
2.722787,0,0,93,60,96,117,245,50,0,0,0,52,0,0,69
2.727736,1,1,93,60,96,118,245,50,0,0,0,53,0,1,51
2.741700,0,0,93,60,96,118,245,50,0,0,0,53,0,1,51
2.746329,0,0,93,60,96,118,245,50,0,0,0,53,0,1,51
2.754620,0,0,93,60,96,118,245,50,0,0,0,53,0,1,91
2.758835,1,1,93,60,96,119,245,50,0,0,0,60,0,0,91
2.772375,0,0,93,60,96,119,245,50,0,0,0,60,0,0,91
2.776570,0,0,93,60,96,119,245,50,0,0,0,60,0,0,91
2.785834,0,1,93,60,96,119,245,50,0,0,-1,60,0,0,64
2.790816,1,1,93,60,96,123,245,50,0,0,-1,66,0,1,64
2.804513,0,0,93,60,96,123,245,50,0,0,-1,66,0,1,64
2.809105,0,1,93,60,96,123,245,50,0,0,0,66,0,1,70
2.816872,1,1,93,60,96,126,245,50,0,0,0,65,0,1,70
2.821505,0,0,93,60,96,126,245,50,0,0,0,65,0,1,70
2.834823,0,0,93,60,96,126,245,50,0,0,0,65,0,1,70
2.839841,1,0,93,59,96,126,245,50,0,0,0,65,0,1,70
2.847195,1,1,93,59,96,132,245,50,0,0,-1,67,0,1,64
2.851666,0,0,93,59,96,132,245,50,0,0,-1,67,0,1,64
2.855884,0,0,93,59,96,132,245,50,0,0,-1,67,0,1,64
2.867116,0,0,93,59,96,132,245,50,0,0,-1,67,0,1,64
2.876776,1,1,93,60,96,135,245,50,0,0,0,65,0,1,96
2.881773,0,0,93,60,96,135,245,50,0,0,0,65,0,1,96
2.886833,0,0,93,60,96,135,245,50,0,0,0,65,0,1,96
2.898055,0,0,93,60,96,135,245,50,0,0,0,65,0,1,96
2.907591,1,1,93,59,96,135,245,50,0,0,0,64,0,1,74
2.911834,1,1,93,59,96,137,245,50,0,0,0,64,0,0,74
2.916769,0,0,93,59,96,137,245,50,0,0,0,64,0,0,74
2.928684,1,0,93,60,96,137,245,50,0,0,0,64,0,0,74
2.938523,1,1,93,60,96,139,245,50,0,0,0,63,0,0,86
2.942725,0,1,93,60,96,139,245,50,0,0,0,63,0,1,86
2.947223,0,0,93,60,96,139,245,50,0,0,0,63,0,1,86
2.959979,0,0,93,60,96,139,245,50,0,0,0,63,0,1,86
2.964191,1,1,93,60,96,142,245,50,0,0,0,59,0,1,76
2.971748,0,1,93,60,96,142,245,50,0,0,0,59,0,0,76
2.976743,0,0,93,60,96,142,245,50,0,0,0,59,0,0,76
2.990452,0,0,93,60,96,142,245,50,0,0,0,59,0,0,76
2.994983,0,0,93,60,96,142,245,50,0,0,0,59,0,0,76
3.002847,0,0,93,60,96,142,245,50,0,0,0,59,0,0,76
3.007361,0,0,93,60,96,142,245,50,0,0,0,59,0,0,76
3.020597,0,0,93,60,96,142,245,50,0,0,0,59,0,0,76
3.024763,1,1,93,60,96,148,245,50,0,0,0,55,0,0,109
3.033152,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.038087,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.051460,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.056534,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.064475,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.069388,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.082693,0,0,93,60,96,148,245,50,0,0,0,55,0,0,109
3.087765,1,1,93,60,96,153,245,50,0,0,0,52,0,0,104
3.094863,0,0,93,60,96,153,245,50,0,0,0,52,0,0,104
3.099792,0,0,93,60,96,153,245,50,0,0,0,52,0,0,104
3.113935,0,0,93,60,96,153,245,50,0,0,0,52,0,0,97
3.118736,0,1,93,60,96,153,245,50,0,0,0,51,0,0,97
3.126518,0,0,93,60,96,153,245,50,0,0,0,51,0,0,97
3.130780,0,0,93,60,96,153,245,50,0,0,0,51,0,0,97
3.144532,1,0,93,59,96,153,245,50,0,0,0,51,0,0,73
3.149490,1,1,93,59,96,156,245,50,0,0,0,48,0,0,73
3.157826,0,0,93,59,96,156,245,50,0,0,0,48,0,0,73
3.162011,0,0,93,59,96,156,245,50,0,0,0,48,0,0,73
3.175437,1,0,93,60,96,156,245,50,0,0,0,48,0,0,85
3.179703,1,1,93,60,96,160,245,50,0,0,0,47,0,0,85
3.188436,0,0,93,60,96,160,245,50,0,0,0,47,0,0,85
3.193135,0,0,93,60,96,160,245,50,0,0,0,47,0,0,85
3.206410,1,0,93,59,96,160,245,50,0,0,0,47,0,0,79
3.211534,1,1,93,59,96,161,245,50,0,0,0,44,0,0,79
3.219547,0,0,93,59,96,161,245,50,0,0,0,44,0,0,79
3.224071,0,0,93,59,96,161,245,50,0,0,0,44,0,0,79
3.237834,1,1,93,60,96,161,245,50,0,0,0,45,0,0,103
3.242143,1,0,93,60,96,163,245,50,0,0,0,45,0,0,103
3.250773,0,0,93,60,96,163,245,50,0,0,0,45,0,0,103
3.255774,1,0,93,59,96,163,245,50,0,0,0,45,0,0,103
3.269707,1,1,93,59,96,166,245,50,0,0,0,43,0,0,84
3.279481,0,0,93,59,96,166,245,50,0,0,0,43,0,0,84
3.283965,0,0,93,59,96,166,245,50,0,0,0,43,0,0,84
3.288967,1,1,93,60,96,166,245,50,0,0,0,40,0,0,67
3.300980,1,0,93,60,96,168,245,50,0,0,0,40,0,0,67
3.310570,0,0,93,60,96,168,245,50,0,0,0,40,0,0,67
3.314716,1,0,93,59,96,168,245,50,0,0,0,40,0,0,67
3.318959,1,1,93,59,96,169,245,50,0,0,0,41,0,0,84
3.332714,0,0,93,59,96,169,245,50,0,0,0,41,0,0,84
3.342993,0,0,93,59,96,169,245,50,0,0,0,41,0,0,84
3.347541,0,0,93,59,96,169,245,50,0,0,0,41,0,0,107
3.351800,1,1,93,59,96,170,245,50,0,0,0,38,0,0,107
3.363193,0,0,93,59,96,170,245,50,0,0,0,38,0,0,107
3.372670,0,0,93,59,96,170,245,50,0,0,0,38,0,0,107
3.376877,1,0,93,60,96,170,245,50,0,0,0,38,0,0,88
3.381063,1,1,93,60,96,172,245,50,0,0,0,37,0,0,88
3.394415,0,0,93,60,96,172,245,50,0,0,0,37,0,0,88
3.403861,0,0,93,60,96,172,245,50,0,0,0,37,0,0,88
3.408503,0,0,93,60,96,172,245,50,0,0,0,37,0,0,113
3.413099,1,0,93,60,96,174,245,50,0,0,0,37,0,0,113
3.425463,0,0,93,60,96,174,245,50,0,0,0,37,0,0,113
3.435220,0,0,93,60,96,174,245,50,0,0,0,37,0,0,113
3.440356,1,1,93,60,96,176,245,50,0,0,0,35,0,0,78
3.454815,0,0,93,60,96,176,245,50,0,0,0,35,0,0,78
3.460391,0,0,93,60,96,176,245,50,0,0,0,35,0,0,78
3.467080,0,0,93,60,96,176,245,50,0,0,0,35,0,0,78
3.471259,1,1,93,60,96,179,245,50,0,0,0,36,0,0,89
3.475490,0,0,93,60,96,179,245,50,0,0,0,36,0,0,89
3.486686,0,0,93,60,96,179,245,50,0,0,0,36,0,0,89
3.491277,0,0,93,60,96,179,245,50,0,0,0,36,0,0,89
3.498780,0,0,93,60,96,179,245,50,0,0,0,36,0,0,89
3.503842,1,1,93,60,96,183,245,50,0,0,0,35,0,0,79
3.517340,0,0,93,60,96,183,245,50,0,0,0,35,0,0,79
3.521906,0,0,93,60,96,183,245,50,0,0,0,35,0,0,79
3.529601,1,0,93,59,96,183,245,50,0,0,0,35,0,0,79
3.534245,1,1,93,59,96,187,245,50,0,0,0,37,0,0,77
3.547650,0,0,93,59,96,187,245,50,0,0,0,37,0,0,77
3.552607,0,0,93,59,96,187,245,50,0,0,0,37,0,0,77
3.560158,1,0,93,60,96,187,245,50,0,0,0,37,0,0,77
3.564703,1,1,93,60,96,189,245,50,0,0,0,39,0,0,96
3.568943,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.580145,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.589545,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.593705,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.598350,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.611015,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.620772,0,0,93,60,96,189,245,50,0,0,0,39,0,0,96
3.625369,1,1,93,60,96,193,245,50,0,0,0,40,0,0,83
3.629903,0,0,93,60,96,193,245,50,0,0,0,40,0,0,83
3.642384,0,0,93,60,96,193,245,50,0,0,0,40,0,0,83
3.651822,0,0,93,60,96,193,245,50,0,0,0,40,0,0,83
3.656410,1,1,93,60,96,195,245,50,0,0,0,39,0,0,91
3.661782,0,0,93,60,96,195,245,50,0,0,0,39,0,0,91
3.673921,0,0,93,60,96,195,245,50,0,0,0,39,0,0,91
3.684289,1,0,93,59,96,197,245,50,0,0,0,39,0,0,81
3.690038,0,0,93,59,96,197,245,50,0,0,0,39,0,0,81
3.703956,0,0,93,59,96,197,245,50,0,0,0,39,0,0,81
3.714215,1,0,93,60,96,197,245,50,0,0,0,39,0,0,98
3.719165,1,1,93,60,96,199,245,50,0,0,0,40,0,0,98
3.723288,0,0,93,60,96,199,245,50,0,0,0,40,0,0,98
3.735026,0,0,93,60,96,199,245,50,0,0,0,40,0,0,98
3.744529,0,0,93,60,96,199,245,50,0,0,0,40,0,0,58
3.748687,1,1,93,60,96,200,245,50,0,0,0,39,0,0,58
3.753243,0,0,93,60,96,200,245,50,0,0,0,39,0,0,58
3.766300,0,0,93,60,96,200,245,50,0,0,0,39,0,0,58
3.775668,1,0,93,59,96,200,245,50,0,0,0,39,0,0,84
3.780367,1,1,93,59,96,202,245,50,0,0,0,40,0,0,84
3.784606,0,0,93,59,96,202,245,50,0,0,0,40,0,0,84
3.797072,0,0,93,59,96,202,245,50,0,0,0,40,0,0,84
3.806821,1,1,93,60,96,204,245,50,0,0,0,38,0,0,77
3.811355,0,0,93,60,96,204,245,50,0,0,0,38,0,0,77
3.815976,0,0,93,60,96,204,245,50,0,0,0,38,0,0,77
3.827988,0,0,93,60,96,204,245,50,0,0,0,38,0,0,77
3.837580,1,1,93,59,96,205,245,50,0,0,0,40,0,0,83
3.841792,0,0,93,59,96,205,245,50,0,0,0,40,0,0,83
3.845976,0,0,93,59,96,205,245,50,0,0,0,40,0,0,83
3.859449,1,0,93,60,96,205,245,50,0,0,0,40,0,0,83
3.868807,0,0,93,60,96,205,245,50,0,0,0,40,0,0,83
