cycle,t_session_s,temp_before,temp_after,base_before_g,base_after_g,cmd,pos_contact,f_start,f_end,drop_g,drop_frac,t63_s,pos_start,pos_end,dpos,cur_med,aborted
a1,120.5,34,34,1,2,351,854,452,434,18,0.040,15.10,854,854,0.0,0,0
a2,205.1,34,36,-14,7,350,854,423,372,51,0.121,49.83,854,854,0.0,0,0
a3,290.0,36,36,-11,9,349,854,404,379,25,0.062,0.59,854,854,0.0,0,0
a4,374.6,36,36,-8,12,348,858,466,443,23,0.049,13.08,858,858,0.0,0,0
a5,459.4,36,38,-6,14,347,858,460,390,70,0.152,0.62,858,854,-4.0,0,0
b1,86.2,38,38,-3,15,348,856,428,372,56,0.130,1.46,856,854,-2.0,0,0
b2,170.9,38,38,-2,19,347,858,468,396,72,0.154,1.12,858,856,-2.0,0,0
b3,255.9,38,38,0,20,346,860,411,404,7,0.017,13.31,856,856,0.0,0,0
b4,340.7,38,40,0,22,345,858,460,381,79,0.172,1.13,858,854,-4.0,0,0
b5,426.3,40,40,2,24,345,858,465,453,12,0.026,9.26,858,858,0.0,0,0
b6,513.9,40,40,4,25,348,859,462,455,7,0.015,18.68,859,858,-1.0,0,0
c1,86.7,40,40,7,27,348,858,458,445,13,0.028,7.29,858,858,0.0,0,0
c2,171.4,40,40,6,27,347,859,478,459,19,0.040,17.03,859,859,0.0,0,0
c3,256.2,40,40,6,28,346,859,453,434,19,0.042,3.81,858,856,-2.0,0,0
c4,340.8,40,42,7,30,345,860,462,379,83,0.180,0.69,859,854,-5.0,0,0
c5,426.3,42,42,8,30,345,859,455,426,29,0.064,0.96,858,858,0.0,0,0
c6,511.1,42,42,9,31,344,859,469,460,9,0.019,7.81,859,858,-1.0,0,0
