n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
6,3,abrir,249,252,1528,1523.0,-5.0,1019,883,-136,9/6,6/2,36,0
4,3,cerrar,249,246,1528,1538,10,1008,1327,319,8/2,9/5,36,0
2,3,cerrar,249,246,1528.0,1540,12.0,1104,1334,230,12/4,9/2,36,0
0,3,abrir,249,252,1529,1526,-3,1131,870,-261,10/5,10/2,36,0
4,2,cerrar,249,247,1531,1534,3,922,1161,239,8/3,5/6,36,0
1,2,abrir,249,251,1528.0,1528.0,0.0,1024,1023,-2,20/7,11/3,36,0
8,5,cerrar,249,244,1528.0,1540.0,12.0,1019,1385,366,10/6,12/2,36,0
1,1,abrir,249,250,1529,1529,0,1118,1117,-1,4/2,9/5,36,0
6,5,cerrar,249,244,1529.0,1540,11.0,1117,1386,269,12/1,9/2,36,0
1,3,cerrar,249,246,1529.0,1540,11.0,1103,1293,190,11/7,10/5,36,0
5,5,abrir,249,254,1529.0,1523.0,-6.0,1158,695,-463,10/12,15/4,36,0
8,1,cerrar,249,248,1528.0,1535,7.0,836,1140,304,6/0,13/3,36,0
7,2,abrir,249,251,1528,1528.0,0.0,1008,997,-11,14/6,16/3,36,0
9,2,cerrar,249,247,1527,1535.0,8.0,990,1170,180,9/3,6/2,36,0
1,1,cerrar,249,248,1528.0,1531.0,3.0,1061,1113,52,6/3,7/3,38,0
4,1,abrir,249,250,1529.0,1529.0,0.0,1110,1109,-1,7/2,7/4,38,0
2,3,abrir,249,252,1529.0,1526,-3.0,1109,842,-267,7/0,22/4,36,0
9,3,abrir,249,252,1529.0,1526.0,-3.0,893,817,-76,7/5,12/2,36,0
3,5,cerrar,249,244,1528.0,1540,12.0,879,1371,492,6/3,8/3,36,0
8,1,abrir,249,250,1531.0,1529.0,-2.0,1110,1109,-1,7/8,5/2,38,0
7,3,cerrar,249,246,1529.0,1540,11.0,1109,1290,181,8/0,3/4,38,0
2,1,cerrar,249,248,1531.0,1529,-2.0,1094,1064,-30,12/5,14/8,38,0
8,5,abrir,249,254,1529.0,1523.0,-6.0,1064,684,-380,12/3,18/3,38,0
4,5,abrir,249,254,1528.0,1523.0,-5.0,821,685,-136,12/6,17/7,38,0
3,2,cerrar,249,247,1528.0,1535.0,7.0,827,1168,341,5/2,5/0,38,0
7,1,cerrar,249,248,1532.0,1532,0.0,1036,1103,67,12/5,5/5,38,0
0,1,abrir,249,250,1528.0,1528,0.0,1012,1006,-6,5/2,6/4,38,0
0,5,cerrar,249,244,1529,1540.0,11.0,1019,1364,345,7/5,6/6,36,0
6,2,cerrar,249,247,1529,1532,3,1110,1126,16,16/3,14/5,38,0
5,1,abrir,249,250,1531.0,1531,0.0,1122,1121,-1,10/2,10/4,38,0
5,3,abrir,249,252,1531,1526.0,-5.0,1121,804,-317,14/4,9/8,38,0
1,5,abrir,249,254,1529,1522.0,-7.0,855,671,-184,3/4,5/2,38,0
5,2,cerrar,249,247,1528.0,1535,7.0,804,1153,349,9/2,9/4,38,0
7,5,abrir,249,254,1528.0,1523,-5.0,1033,680,-353,8/8,10/3,38,0
0,1,cerrar,249,248,1528.0,1535,7.0,805,1123,318,7/3,10/3,38,0
3,1,cerrar,249,248,1528.0,1533,5.0,972,1123,150,17/4,14/3,38,0
6,1,abrir,249,250,1528.0,1528.0,0.0,980,975,-6,9/1,5/2,38,0
6,5,abrir,249,254,1528,1522.0,-6.0,976,670,-306,7/3,9/2,38,0
8,2,cerrar,249,247,1528.0,1534,6.0,796,1133,337,10/0,5/2,38,0
9,5,abrir,249,254,1528.0,1522.0,-6.0,1021,672,-349,9/6,14/1,38,0
8,3,cerrar,249,246,1528.0,1540,12.0,814,1296,482,15/0,5/6,36,0
3,1,abrir,249,250,1529.0,1529,0.0,1096,1095,-1,8/3,7/6,38,0
0,3,cerrar,249,246,1529.0,1540.0,11.0,1094,1298,204,10/2,7/2,38,0
9,2,abrir,249,251,1529,1529.0,0.0,1099,1099,0,19/4,14/4,38,0
0,2,cerrar,249,247,1529.0,1531.0,2.0,1099,1109,10,5/2,6/2,38,0
9,5,cerrar,249,244,1529,1540.0,11.0,1108,1337,229,13/5,8/5,38,0
2,2,cerrar,249,247,1529.0,1528,-1.0,1090,1014,-76,7/4,7/4,38,0
4,3,abrir,249,252,1531.0,1526.0,-5.0,1036,820,-216,10/7,11/5,38,0
5,2,abrir,249,251,1528.5,1528,-0.5,869,869,0,8/10,14/5,38,0
0,2,abrir,249,251,1529.0,1526,-3.0,875,815,-60,12/3,3/2,38,0
1,2,cerrar,249,247,1527.0,1533,6.0,871,1090,219,13/9,11/2,38,0
3,3,cerrar,249,246,1531.0,1540,9.0,997,1304,307,4/2,4/4,38,0
4,1,cerrar,249,248,1528.0,1529.0,1.0,1078,1065,-13,12/2,9/2,38,0
6,3,cerrar,249,246,1528.0,1540.0,12.0,1064,1276,212,12/1,8/2,38,0
6,1,cerrar,249,248,1529,1529.0,0.0,1059,1058,-1,14/6,13/2,38,0
9,1,abrir,249,250,1529,1528.0,-1.0,1057,1057,0,11/4,7/2,38,0
9,1,cerrar,249,248,1529,1529,0,1062,1061,-1,13/3,14/5,38,0
7,3,abrir,249,252,1529.0,1526.0,-3.0,1060,801,-259,9/2,9/3,38,0
2,5,abrir,249,254,1529.0,1522.5,-6.5,858,684,-174,9/4,4/9,38,0
3,5,abrir,249,254,1528,1523.0,-5.0,762,669,-93,12/5,12/12,38,0
0,5,abrir,249,254,1528,1523,-5,749,669,-80,9/1,9/7,38,0
4,2,abrir,249,251,1528.0,1528.0,0.0,766,766,0,10/5,4/3,38,0
8,3,abrir,249,252,1527,1526.0,-1.0,820,818,-2,12/2,8/3,38,0
2,2,abrir,249,251,1531,1526,-5,968,856,-112,7/4,9/2,38,0
2,1,abrir,249,250,1527.0,1527,0.0,891,887,-4,19/5,11/5,38,0
