n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
9,10,abrir,387,397,246,6.0,24,222,-24,180.2,4,-119.1,61.1,61.1,,,33.1,222,0,1.8,77,830.0,824,44,0
2,10,abrir,387,397,268,0.2,15,220,-48,45.2,2,29.4,45.2,74.6,30.5,44.1,74.6,220,0,-3.0,117,830,824,44,0
2,20,abrir,387,407,265,1.0,15,178,-87,61.6,1,90.2,91.5,151.7,61.3,90.4,151.7,176,-2,0.0,83,829,815,44,0
7,10,cerrar,387,377,238,1.1,15,312,74,59.7,1,60.1,119.8,119.8,,,266.6,339,27,0.0,71,828,838,44,0
8,20,abrir,387,407,257,0.5,15,171,-86,64.1,4,59.3,64.1,123.4,34.4,89.0,153.1,170,-1,-0.5,69,830,816,44,0
6,10,cerrar,387,377,253,0.0,15,333,80,90.7,3,61.1,90.7,151.8,60.1,91.7,151.8,337,4,0.9,69,830,840,44,0
2,20,cerrar,387,367,256,0.0,15,371,115,85.7,2,55.4,85.7,141.1,58.0,83.1,169.4,378,7,-0.6,70,830,846,44,0
0,10,cerrar,387,377,252,0.5,15,299,47,48.8,0,32.0,48.8,80.8,32.9,47.9,202.7,325,26,0.2,93,830.0,838,44,0
8,10,abrir,387,397,251,0.5,15,208,-43,93.4,7,0.0,93.4,93.4,,,93.4,206,-2,0.5,61,830,824,44,0
3,10,cerrar,387,377,242,0.0,15,327,85,36.6,1,58.5,65.5,95.2,50.7,44.4,125.8,330,3,0.0,52,830.0,840,44,0
8,10,cerrar,387,377,251,0.4,15,330,79,33.5,0,31.5,65.0,65.0,,,95.5,332,2,1.0,46,830.0,840,44,0
5,10,cerrar,387,377,253,0.5,15,327,74,35.5,5,29.8,65.3,65.3,,,95.3,329,2,0.7,78,830.0,840,44,0
4,10,cerrar,387,377,252,0.5,15,326,74,32.8,2,29.8,62.6,62.6,,,92.6,329,3,-1.6,85,830.0,840,44,0
6,20,cerrar,387,367,250,0.4,15,369,119,60.2,1,90.4,90.2,150.6,60.1,90.5,205.5,373,4,-0.8,95,830.0,846,44,0
9,20,abrir,387,407,249,0.5,15,164,-85,77.2,1,51.0,77.2,128.2,51.7,76.5,158.2,162,-2,0.0,88,830.0,816,44,0
3,20,cerrar,387,367,243,0.0,15,368,125,66.8,4,62.3,66.8,129.0,35.6,93.4,188.1,373,5,-0.4,104,830.0,846,44,0
1,10,cerrar,387,377,250,0.0,15,304,54,46.3,2,30.4,46.3,76.8,31.1,45.7,196.7,325,21,0.7,82,830.0,838,44,0
7,20,cerrar,387,367,249,0.5,15,365,116,47.8,2,82.9,78.6,130.7,52.5,78.1,160.3,369,4,-1.4,110,830.0,846,44,0
8,20,cerrar,387,367,248,0.5,15,364,116,81.5,4,60.3,81.5,141.7,51.3,90.4,171.8,367,3,-1.7,80,830.0,846,44,0
4,20,cerrar,387,367,247,0.0,15,363,116,48.5,3,61.2,78.0,109.7,62.2,47.6,169.8,367,4,1.4,83,830,846,44,0
3,10,abrir,387,397,246,0.2,15,204,-42,75.6,4,0.0,45.6,75.6,30.6,45.0,75.6,202,-2,0.3,62,830,824,44,0
5,20,cerrar,387,367,240,0.4,15,365,125,92.6,2,60.0,92.6,152.6,62.6,90.0,243.6,370,5,1.2,95,830,846,44,0
2,10,cerrar,387,377,248,0.5,15,295,47,33.6,1,31.4,33.6,65.1,17.9,47.2,213.8,320,25,0.0,90,830,838,44,0
1,20,abrir,387,407,248,0.5,15,160,-88,93.6,6,57.9,93.6,151.6,64.7,86.9,182.2,159,-1,0.8,103,830.0,815,44,0
9,20,cerrar,387,367,240,0.5,15,366,126,45.7,1,151.7,136.2,197.3,105.7,91.6,197.3,371,5,-0.4,104,830,846,44,0
9,10,cerrar,387,377,248,0.4,15,288,40,60.1,2,29.0,60.1,89.1,45.6,43.5,326.3,320,32,-2.1,79,830.0,837,44,0
7,20,abrir,387,407,246,0.5,15,159,-87,80.9,3,60.8,80.9,141.8,50.5,91.3,171.3,158,-1,1.7,70,830,815,44,0
5,10,abrir,387,397,239,0.4,15,200,-39,49.0,5,29.0,49.0,78.0,34.5,43.5,78.0,199,-1,-1.6,107,829,823,44,0
6,10,abrir,387,397,239,0.5,15,200,-39,33.6,1,29.4,33.6,63.0,18.9,44.2,63.0,199,-1,-1.7,91,830.0,823,44,0
1,20,cerrar,387,367,240,0.3,15,363,123,82.5,7,60.2,82.5,142.7,52.3,90.3,202.4,367,4,-2.4,122,830.0,846,44,0
5,20,abrir,387,407,247,0.0,15,159,-88,79.1,9,60.2,79.1,139.4,49.0,90.3,168.6,158,-1,1.1,84,830.0,815,44,0
0,20,cerrar,387,367,239,0.0,15,367,128,80.1,1,91.3,80.1,171.4,34.5,137.0,221.3,372,5,-1.7,83,830,847,44,0
1,10,abrir,387,397,247,0.5,15,201,-46,79.3,4,0.0,51.6,79.3,37.7,41.6,79.3,201,0,0.0,59,830,824,44,0
3,20,abrir,387,407,234,0.5,15,158,-76,50.1,3,61.0,82.4,111.1,68.1,43.0,142.1,156,-2,0.1,88,830.0,815,44,0
4,20,abrir,387,407,237,0.3,15,158,-79,44.0,0,60.4,75.3,104.5,60.8,43.7,135.3,157,-1,0.0,58,829,815,44,0
