n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
3,2,cerrar,290,288,1462.0,1463.0,1.0,251,268,17,10/0,17/3,36,0
8,1,cerrar,290,289,1463,1464.0,1.0,263,276,13,11/1,15/0,36,0
1,1,abrir,290,291,1463,1460.0,-3.0,270,223,-47,18/1,7/0,36,0
7,1,cerrar,290,289,1464,1464,0,261,258,-3,12/0,9/0,36,0
8,3,cerrar,290,287,1463,1466.0,3.0,256,308,52,11/0,10/0,36,0
3,1,abrir,290,291,1462.0,1462,0.0,260,260,0,15/0,18/1,36,0
1,1,cerrar,290,289,1464,1464.0,0.0,279,278,-1,14/1,13/2,36,0
1,10,abrir,290,300,1462,1445.0,-17.0,278,13,-265,5/2,2/0,36,0
4,10,abrir,290,300,1462,1445.0,-17.0,190,14,-176,8/0,7/0,36,0
4,3,abrir,290,293,1462.0,1459,-3.0,195,134,-61,6/0,8/0,36,0
6,1,abrir,290,291,1462,1463.0,1.0,190,189,-1,6/1,8/1,36,0
3,5,cerrar,290,285,1463,1469.0,6.0,188,342,154,10/3,9/0,36,0
2,3,abrir,290,293,1464,1459,-5,251,81,-170,8/0,9/0,36,0
1,3,cerrar,290,287,1463,1466,3,125,250,125,6/0,13/0,36,0
0,10,cerrar,290,280,1465.0,1479.0,14.0,231,462,231,9/4,11/3,36,0
2,1,cerrar,290,289,1464.0,1464,0.0,164,164,0,14/1,12/0,36,0
7,3,cerrar,290,287,1464,1466,2,165,196,31,10/0,12/0,36,0
7,10,cerrar,290,280,1464.0,1479.0,15.0,152,458,306,9/1,10/2,36,0
8,5,abrir,290,295,1464.0,1452,-12.0,164,8,-156,16/0,8/0,36,0
6,5,cerrar,290,285,1462.0,1469,7.0,132,303,171,7/0,15/0,36,0
9,1,abrir,290,291,1463,1461,-2,220,160,-60,15/0,8/3,36,0
6,1,cerrar,290,289,1465,1465.0,0.0,183,183,0,14/0,9/0,36,0
4,2,cerrar,290,288,1465,1464.0,-1.0,183,183,0,5/0,13/1,36,0
0,1,abrir,290,291,1465.0,1460.0,-5.0,184,126,-58,4/0,10/0,36,0
9,3,abrir,290,293,1464,1459,-5,160,52,-108,9/0,10/0,36,0
0,2,abrir,290,292,1462.0,1459,-3.0,83,56,-27,11/0,12/0,36,0
2,2,cerrar,290,288,1462.0,1464.0,2.0,86,141,55,12/1,8/1,36,0
9,2,cerrar,290,288,1464.0,1465,1.0,140,139,-1,4/0,12/2,36,0
3,10,cerrar,290,280,1464.0,1479.0,15.0,139,451,312,8/0,15/2,36,0
7,2,abrir,290,292,1464,1460,-4,170,91,-79,5/0,15/4,36,0
3,10,abrir,290,300,1465,1445,-20,119,1,-118,10/0,10/0,36,0
1,10,cerrar,290,280,1462.0,1479.0,17.0,156,453,297,10/0,15/0,36,0
3,3,cerrar,290,287,1464.0,1469,5.0,169,214,45,10/0,3/0,36,0
9,10,abrir,290,300,1463.0,1445,-18.0,150,1,-149,10/0,12/0,36,0
6,10,cerrar,290,280,1462.0,1479,17.0,147,451,304,11/0,10/0,36,0
8,2,cerrar,290,288,1464,1464.0,0.0,164,181,17,9/0,11/1,36,0
4,2,abrir,290,292,1463.0,1459.0,-4.0,142,78,-64,11/0,14/1,36,0
8,10,cerrar,290,280,1464,1479.0,15.0,107,441,334,18/0,11/0,36,0
4,3,cerrar,290,287,1464,1469,5,162,204,42,12/0,7/0,36,0
4,1,abrir,290,291,1463.5,1461,-2.5,147,110,-37,10/5,5/0,36,0
4,10,cerrar,290,280,1463.0,1478,15.0,124,438,314,10/0,9/0,36,0
0,5,abrir,290,295,1464.0,1453.0,-11.0,157,8,-149,11/0,12/0,36,0
4,1,cerrar,290,289,1462.0,1464,2.0,125,148,23,15/0,7/0,36,0
0,2,cerrar,290,288,1464,1464,0,147,165,18,8/3,14/0,36,0
5,1,abrir,290,291,1464,1464,0,164,156,-8,18/0,7/0,36,0
1,2,cerrar,290,288,1464,1465.0,1.0,156,174,18,13/4,12/0,36,0
1,2,abrir,290,292,1464.0,1459,-5.0,173,122,-51,12/0,8/0,36,0
6,5,abrir,290,295,1464,1454,-10,164,13,-151,8/0,15/0,36,0
7,3,abrir,290,293,1462.0,1458,-4.0,116,70,-46,6/0,10/4,36,0
7,5,cerrar,290,285,1462,1469.0,7.0,116,293,177,25/0,12/0,36,0
3,5,abrir,290,295,1464.0,1454,-10.0,209,12,-197,8/0,8/0,36,0
0,3,abrir,290,293,1462,1458.0,-4.0,115,72,-43,10/0,3/2,36,0
9,5,cerrar,290,285,1462,1470.0,8.0,116,284,168,11/2,16/0,36,0
5,2,cerrar,290,288,1463.0,1466.0,3.0,210,227,17,5/0,14/0,36,0
8,10,abrir,290,300,1462,1446,-16,185,1,-184,15/0,13/1,36,0
6,3,cerrar,290,287,1462,1466.0,4.0,144,239,95,13/0,10/0,36,0
6,10,abrir,290,300,1462,1446,-16,204,2,-202,15/2,12/1,36,0
0,1,cerrar,290,289,1462.0,1464,2.0,144,168,24,8/0,5/0,36,0
2,5,abrir,290,295,1464.0,1452.0,-12.0,166,22,-144,9/4,12/0,36,0
