n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
9,3,abrir,280,283,471,11.8,47,382,-89,55.7,1,30.6,48.8,86.3,30.0,56.3,55.7,374,-8,16.3,74,1476.0,1473,44,0
2,3,abrir,280,283,439,12.2,49,377,-62,230.9,14,-92.3,53.8,138.6,11.4,127.2,22.2,377,0,-4.8,64,1478,1473,44,0
2,6,abrir,280,286,437,10.8,43,311,-126,51.4,3,27.9,51.4,79.2,37.4,41.8,79.2,309,-2,0.3,93,1476,1469,44,0
7,3,cerrar,280,277,433,13.6,54,432,-2,143.3,9,,,,,,1570.3,538,106,-99.5,76,1478,1476,44,0
8,6,abrir,280,286,418,3.6,15,256,-162,48.3,1,33.8,48.3,82.1,31.4,50.7,108.4,249,-7,-0.8,61,1478,1469,44,0
6,3,cerrar,279,276,478,19.9,80,413,-65,650.5,33,,,,,,1607.8,558,145,-296.5,92,1480,1476,44,0
2,6,cerrar,279,273,416,14.5,58,482,66,113.6,5,-24.7,88.9,88.9,,,1570.5,656,174,-332.0,88,1478,1480,44,0
0,3,cerrar,279,276,459,0.0,15,457,-2,58.2,1,,,,,,1569.6,521,64,-55.8,87,1480.0,1480,44,0
8,3,abrir,279,282,452,0.3,15,321,-131,36.8,2,30.8,36.8,67.6,21.4,46.1,67.6,317,-4,1.2,97,1480.0,1476,44,0
3,3,cerrar,277,274,446,11.7,47,458,12,90.3,6,,,,,,1575.5,583,125,-252.2,83,1480,1480,44,0
8,3,cerrar,277,274,458,0.8,15,457,-1,64.7,4,,,,,,1631.7,586,129,-186.5,99,1481,1480,44,0
5,3,cerrar,277,274,457,0.5,15,454,-3,45.2,3,,,,,,1611.4,581,127,-117.8,79,1480,1480,44,0
4,3,cerrar,277,274,452,0.0,15,457,5,52.0,1,,,,,,1611.4,569,112,-207.9,65,1480,1480,44,0
6,6,cerrar,277,271,449,0.5,15,538,90,120.0,2,0.0,120.0,120.0,,,1669.9,715,176,-345.9,88,1480,1483,44,0
9,6,abrir,276,282,458,22.8,91,295,-163,51.4,1,30.1,17.7,81.5,0.0,95.7,51.4,287,-8,1.7,87,1482,1476,44,0
3,6,cerrar,276,270,492,16.7,67,552,60,16.9,0,,,,,,1567.7,725,173,-254.3,105,1485,1484,44,0
1,3,cerrar,276,273,389,23.2,93,448,60,122.0,6,,,,,,1577.2,568,120,-228.5,69,1485.0,1481,44,0
