n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
9,4,abrir,290,294,246,0.5,15,152,-94,42.8,1,31.1,73.9,73.9,,,94.9,151,-1,0.0,62,1461,1457,42,0
2,4,abrir,290,294,249,0.6,15,140,-109,34.1,0,29.3,34.1,63.4,19.5,43.9,92.7,139,-1,1.4,31,1463,1457,42,0
2,7,abrir,290,297,217,0.7,15,32,-185,62.4,2,59.2,91.0,121.5,75.7,45.8,238.2,32,0,0.0,65,1462.0,1448,42,0
7,4,cerrar,290,286,225,0.5,15,332,108,50.6,2,59.9,79.7,110.5,64.3,46.2,221.6,353,20,-3.1,80,1461,1467,42,0
8,7,abrir,290,297,271,0.4,15,19,-252,45.1,1,91.1,76.2,136.2,46.2,90.0,279.3,18,-1,-2.1,61,1462.0,1450,42,0
6,4,cerrar,288,284,224,0.5,15,376,152,46.6,2,51.5,78.0,98.1,68.0,30.1,190.0,394,18,-2.5,68,1464.0,1471,42,0
2,7,cerrar,290,283,240,0.4,15,391,151,34.2,1,58.9,93.1,93.1,,,93.1,406,15,-2.5,61,1464,1473,42,0
0,4,cerrar,290,286,256,0.0,15,318,62,86.3,3,0.0,86.3,86.3,,,86.3,325,7,-0.8,86,1463,1470,42,0
8,4,abrir,290,294,237,0.3,15,39,-198,50.9,1,90.2,80.2,141.1,49.8,91.3,201.5,39,0,0.6,68,1462.0,1457,42,0
3,4,cerrar,286,282,277,0.3,15,432,155,59.9,1,53.2,82.7,113.1,67.5,45.6,203.2,450,18,-4.2,84,1468,1475,42,0
8,4,cerrar,286,282,237,0.5,15,399,162,49.6,0,61.6,81.0,111.1,65.9,45.2,111.1,412,13,-2.8,68,1469,1474,42,0
5,4,cerrar,286,282,235,0.4,15,394,159,58.9,2,54.3,80.8,113.1,64.6,48.5,174.7,411,17,0.4,69,1469,1473,42,0
4,4,cerrar,286,282,234,0.5,15,390,156,36.5,4,58.9,65.2,95.4,50.1,45.2,155.9,411,21,-2.2,75,1469,1473,42,0
6,7,cerrar,286,279,232,0.3,15,487,255,90.7,2,32.3,90.7,123.0,74.5,48.5,237.5,509,22,-15.8,82,1469,1479,42,0
9,7,abrir,288,295,236,0.5,15,12,-224,60.0,2,82.5,83.0,142.6,53.3,89.3,299.4,11,-1,0.0,45,1464,1455,42,0
3,7,cerrar,286,279,275,0.5,15,484,209,60.2,3,83.3,88.7,143.5,61.3,82.2,296.1,504,20,-3.8,77,1466.0,1479,42,0
1,4,cerrar,288,284,234,0.4,15,307,73,50.5,2,29.3,79.7,79.7,,,79.7,309,2,0.8,78,1465,1473,42,0
7,7,cerrar,288,281,223,0.4,15,394,171,38.7,3,61.7,68.5,100.4,52.5,47.9,157.7,412,18,-3.8,102,1464.0,1474,42,0
8,7,cerrar,288,281,238,0.6,15,388,150,50.1,4,62.7,112.8,112.8,,,139.7,407,19,-45.1,80,1465,1473,42,0
4,7,cerrar,288,281,228,0.5,15,382,154,82.6,8,27.8,82.6,110.4,68.7,41.7,586.3,-4863,-5244,-4.9,88,1464.5,1473,42,0
3,4,abrir,288,292,235,0.4,15,125,-110,52.3,0,30.1,82.4,82.4,,,111.6,121,-4,1.1,67,1464.0,1460,42,0
5,7,cerrar,284,277,255,0.5,15,469,214,52.7,0,69.4,83.8,122.0,64.8,57.3,1602.7,558,89,-120.0,70,1471,1476,42,0
2,4,cerrar,286,282,247,0.3,15,328,81,46.4,2,31.0,46.4,77.4,30.9,46.5,186.7,348,20,-1.0,108,1471,1473,42,0
1,7,abrir,286,293,223,0.0,15,74,-149,38.1,2,58.3,66.8,96.4,52.0,44.4,126.1,70,-4,1.0,55,1466,1459,42,0
9,7,cerrar,284,277,262,0.8,15,456,194,65.7,5,29.5,65.7,95.3,51.0,44.3,1613.7,543,87,-119.1,93,1469.0,1475,42,0
9,4,cerrar,286,282,243,0.5,15,326,83,63.3,1,26.6,63.3,89.9,50.0,39.9,176.6,355,29,-46.9,92,1471.0,1471,42,0
7,7,abrir,286,293,223,0.5,15,72,-151,61.3,0,58.6,90.6,119.9,76.0,43.9,152.3,69,-3,1.3,86,1466.0,1459,42,0
5,4,abrir,284,288,271,0.5,15,225,-46,61.2,1,22.6,61.2,83.8,49.9,34.0,83.8,211,-14,-1.6,74,1471,1465,42,0
6,4,abrir,286,290,271,0.5,15,198,-73,50.2,2,28.9,50.2,79.1,35.7,43.4,79.1,197,-1,-0.4,68,1469,1463,42,0
