n,step_units,dir,cmd_before,cmd_after,f_base,sigma_g,thr_g,f_inf,amp_g,t_onset_ms,n_fresh_onset,tau_ms,t28_ms,t63_ms,lag_smith_ms,tau_smith_ms,t_settle_ms,f_peak,overshoot_g,drift_g_s,n_fresh,pos_before,pos_after,temp_c,aborted
9,4,abrir,264,268,844,127.8,511,797,-47,,,,,,,,,,,,83,1505.0,1497,44,0
2,4,abrir,264,268,819,126.0,504,771,-48,,,,,,,,,,,,85,1505,1496,44,0
2,8,abrir,264,272,1000,127.4,510,563,-436,,,,,,,,,,,,61,1506,1490,44,0
7,4,cerrar,264,260,770,129.9,520,659,-111,,,,,,,,,,,,91,1505.0,1494,44,0
8,8,abrir,262,270,1046,104.9,420,674,-372,,,,,,,,,,,,47,1506,1494,44,0
6,4,cerrar,264,260,744,140.5,562,720,-24,,,,,,,,,,,,114,1506.0,1494,44,0
2,8,cerrar,264,256,921,164.8,659,556,-365,,,,,,,,,,,,98,1506,1494,44,0
0,4,cerrar,262,258,706,160.8,643,561,-145,,,,,,,,,,,,115,1506,1494,44,0
8,4,abrir,264,268,761,90.3,361,739,-22,,,,,,,,,,,,60,1506.0,1499,44,0
3,4,cerrar,262,258,1055,127.3,509,552,-503,1690.1,102,,,,,,1569.7,531,-21,-1236.1,114,1506.0,1494,44,0
8,4,cerrar,262,258,604,144.2,577,588,-16,369.9,29,,,,,,1524.8,1211,623,-1230.4,105,1508.0,1494,44,0
5,4,cerrar,264,260,727,115.8,463,654,-73,,,,,,,,,,,,102,1506,1496,44,0
4,4,cerrar,262,258,702,109.3,437,564,-138,212.4,10,,,,,,1576.6,1207,643,-1292.5,117,1508.0,1494,44,0
6,8,cerrar,264,256,695,9.6,39,531,-164,113.0,2,1546.8,1629.3,1659.8,1614.1,45.7,1690.9,1373,842,-1085.4,110,1506.0,1494,44,0
9,8,abrir,262,270,698,123.1,492,519,-179,,,,,,,,,,,,96,1506.0,1493,44,0
3,8,cerrar,264,256,672,44.5,178,603,-69,140.8,5,,,,,,1597.2,1363,760,-1036.5,97,1508.0,1496,44,0
1,4,cerrar,262,258,652,127.9,511,611,-41,315.8,18,,,,,,1613.5,1189,578,-728.3,81,1508,1496,44,0
7,8,cerrar,262,254,650,145.5,582,606,-44,221.2,19,,,,,,1566.7,1437,832,-1306.9,121,1508.0,1497,44,0
8,8,cerrar,260,252,1030,110.1,440,584,-446,325.0,23,-323.8,1.2,1.2,,,1581.1,1519,935,-1404.7,122,1510,1497,44,0
4,8,cerrar,260,252,647,187.4,750,740,93,303.6,19,,,,,,420.2,1501,761,-1930.3,110,1510,1497,44,0
3,4,abrir,260,264,899,168.4,674,610,-289,,,,,,,,,,,,93,1510.0,1497,44,0
5,8,cerrar,260,252,907,179.0,716,576,-330,,,,,,,,,,,,128,1510,1497,44,0
2,4,cerrar,260,256,636,180.0,720,691,55,,,,,,,,,,,,119,1510,1497,44,0
1,8,abrir,260,268,750,189.8,759,583,-167,,,,,,,,,,,,95,1510.0,1497,44,0
9,8,cerrar,260,252,675,178.1,712,571,-104,295.0,20,,,,,,1536.1,1486,915,-1454.9,113,1510,1497,44,0
9,4,cerrar,260,256,991,172.2,689,568,-423,,,,,,,,,,,,109,1510.0,1497,44,0
7,8,abrir,260,268,893,178.2,713,574,-319,,,,,,,,,,,,77,1510.0,1497,44,0
5,4,abrir,260,264,988,168.3,673,597,-391,,,,,,,,,,,,98,1510,1497,44,0
6,4,abrir,260,264,895,168.3,673,615,-280,,,,,,,,,,,,107,1510,1497,44,0
1,8,cerrar,260,252,737,160.9,644,558,-178,295.2,22,,,,,,1577.9,1489,930,-1758.5,121,1510.0,1497,44,0
5,8,abrir,260,268,720,173.3,693,553,-167,,,,,,,,,,,,99,1510,1496,44,0
0,8,cerrar,260,252,983,168.0,672,558,-425,,,,,,,,,,,,110,1510,1497,44,0
1,4,abrir,260,264,905,172.9,691,641,-264,,,,,,,,,,,,144,1510,1499,44,0
3,8,abrir,260,268,899,152.2,609,557,-342,,,,,,,,,,,,104,1510,1497,44,0
4,8,abrir,260,268,696,144.4,578,554,-142,,,,,,,,,,,,107,1510,1497,44,0
0,8,abrir,260,268,953,161.4,646,552,-401,,,,,,,,,,,,82,1510.0,1497,44,0
7,4,abrir,260,264,647,162.1,648,653,6,,,,,,,,,,,,131,1510,1499,44,0
4,4,abrir,260,264,931,151.3,605,670,-261,,,,,,,,,,,,127,1510.0,1500,44,0
0,4,abrir,260,264,973,140.0,560,694,-279,,,,,,,,,,,,134,1510.0,1500,44,0
6,8,abrir,260,268,982,114.1,457,541,-441,,,,,,,,,,,,107,1510,1496,44,0
