n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
2,3,abrir,345,348,858,856.0,-2.0,494,466,-28,14/4,18/0,44,0
3,5,abrir,345,350,860.0,856.0,-4.0,536,460,-76,12/0,7/0,44,0
9,5,cerrar,345,340,860,861,1,539,543,4,4/0,14/3,44,0
6,5,abrir,345,350,859,858.0,-1.0,491,458,-33,12/1,18/1,44,0
4,10,cerrar,345,335,860.0,870,10.0,526,620,94,8/0,7/0,44,0
2,10,cerrar,345,335,859.0,870.0,11.0,483,617,134,17/1,7/0,44,0
7,10,cerrar,345,335,859.0,870.0,11.0,489,615,126,16/1,13/0,44,0
5,3,cerrar,345,342,860,861,1,505,547,42,23/7,16/4,44,0
7,3,cerrar,345,342,858.0,862,4.0,470,563,93,12/1,11/0,44,0
0,10,abrir,345,355,858.0,856.0,-2.0,469,394,-75,11/1,11/0,46,0
5,10,abrir,345,355,858.0,856.0,-2.0,454,396,-57,12/5,9/0,44,0
8,10,abrir,345,355,860,856.0,-4.0,509,394,-115,4/0,10/0,44,0
3,5,cerrar,345,340,858.5,863,4.5,477,545,68,10/6,23/3,44,0
7,5,cerrar,345,340,859.0,861.0,2.0,475,538,63,11/1,15/3,44,0
8,5,cerrar,345,340,859,861,2,470,529,59,16/1,15/4,44,0
9,10,abrir,345,355,859.0,856.0,-3.0,478,388,-90,13/1,12/0,44,0
0,3,cerrar,345,342,858.0,862,4.0,467,557,90,16/5,6/0,44,0
1,3,cerrar,345,342,858,862,4,463,557,94,14/1,6/0,44,0
1,10,cerrar,345,335,858,870,12,461,607,146,19/1,10/0,44,0
8,5,abrir,345,350,860,858,-2,488,451,-37,15/3,9/0,44,0
4,3,abrir,345,348,858,858.0,0.0,445,439,-6,7/0,14/1,44,0
5,3,abrir,345,348,858.0,856.0,-2.0,472,419,-54,13/4,15/0,44,0
1,10,abrir,345,355,858.5,856.0,-2.5,470,392,-78,16/5,14/0,44,0
6,10,cerrar,345,335,858,870,12,451,603,152,10/4,4/0,44,0
0,5,cerrar,345,340,859,863.0,4.0,477,573,96,13/1,15/3,44,0
5,5,abrir,345,350,859,858.0,-1.0,479,440,-39,17/3,13/0,44,0
0,3,abrir,345,348,859,856.0,-3.0,457,435,-22,14/3,10/1,44,0
5,10,cerrar,345,335,859,870.0,11.0,446,603,157,17/5,14/0,44,0
1,3,abrir,345,348,860,858.0,-2.0,484,440,-44,14/1,20/2,44,0
3,3,cerrar,345,342,858.0,863,5.0,434,554,120,8/3,14/3,44,0
7,3,abrir,345,348,859,856,-3,478,431,-47,18/2,16/1,44,0
7,10,abrir,345,355,858.0,856.0,-2.0,430,383,-47,22/3,10/0,46,0
1,5,cerrar,345,340,860.0,863.0,3.0,498,569,71,13/0,7/2,44,0
4,3,cerrar,345,342,859,860,1,479,478,-1,15/1,13/1,46,0
0,10,cerrar,345,335,859,868.0,9.0,474,599,125,7/0,12/1,44,0
9,10,cerrar,345,335,859.0,870,11.0,481,597,116,19/4,12/1,44,0
9,3,cerrar,345,342,859.0,860.0,1.0,472,494,22,16/1,11/3,46,0
4,5,abrir,345,350,859.0,859,0.0,466,461,-5,8/1,8/0,44,0
3,10,abrir,345,355,859.0,856,-3.0,466,391,-75,13/0,9/0,46,0
9,5,abrir,345,350,860,856.0,-4.0,506,420,-86,17/2,15/0,46,0
6,3,cerrar,345,342,860.0,860.0,0.0,508,496,-12,10/0,15/6,46,0
3,10,cerrar,345,335,858.0,870.0,12.0,462,599,137,18/1,10/0,46,0
8,3,abrir,345,348,859.0,858.0,-1.0,472,447,-25,14/2,12/0,44,0
8,3,cerrar,345,342,858,862,4,433,542,109,22/4,13/6,44,0
2,10,abrir,345,355,858.0,856.0,-2.0,461,386,-75,19/1,10/0,46,0
3,3,abrir,345,348,860,856.0,-4.0,500,416,-84,17/0,12/0,44,0
7,5,abrir,345,350,860,856.0,-4.0,508,414,-94,12/1,16/0,46,0
2,5,cerrar,345,340,860,861,1,500,530,30,6/0,17/3,46,0
0,5,abrir,345,350,858.5,858,-0.5,464,437,-27,12/1,21/1,46,0
9,3,abrir,345,348,860,856.0,-4.0,484,410,-74,15/0,14/0,44,0
5,5,cerrar,345,340,858.0,861.0,3.0,463,524,61,18/3,18/4,44,0
1,5,abrir,345,350,858.0,858,0.0,457,447,-10,15/1,15/0,44,0
2,5,abrir,345,350,859.0,856.0,-3.0,464,409,-55,14/5,12/0,44,0
6,3,abrir,345,348,860,856,-4,502,406,-96,8/0,9/0,44,0
2,3,cerrar,345,342,861.0,863,2.0,501,554,53,4/1,9/1,46,0
6,5,cerrar,345,340,858.0,861.0,3.0,456,516,60,11/1,19/5,46,0
6,10,abrir,345,355,858.0,856.0,-2.0,462,375,-87,13/2,11/1,46,0
8,10,cerrar,345,335,859.0,870,11.0,480,598,118,16/5,11/0,46,0
4,5,cerrar,345,340,861.0,861,0.0,499,499,0,14/0,12/0,46,0
4,10,abrir,345,355,860,856,-4,480,371,-109,19/5,17/0,44,0
