cycle,phase,t_s,force_g,pos_act,cur_mA,fresh_f,fresh_p
a1,base_pre,1.0924,0,98,0,0,0
a1,base_pre,1.1035,0,98,0,0,0
a1,base_pre,1.1139,0,98,0,0,0
a1,base_pre,1.1191,0,98,0,0,0
a1,base_pre,1.1329,0,98,0,0,0
a1,base_pre,1.1381,0,98,0,0,0
a1,base_pre,1.1461,0,98,0,0,0
a1,base_pre,1.1505,0,98,0,0,0
a1,base_pre,1.1639,0,98,0,0,0
a1,base_pre,1.1682,0,98,0,0,1
a1,base_pre,1.1765,0,98,0,0,0
a1,base_pre,1.1810,0,98,0,0,0
a1,base_pre,1.1947,0,98,0,0,0
a1,base_pre,1.1990,0,98,0,0,1
a1,base_pre,1.2074,0,98,0,0,0
a1,base_pre,1.2116,0,98,0,0,0
a1,base_pre,1.2158,0,98,0,0,0
a1,base_pre,1.2270,0,98,0,0,0
a1,base_pre,1.2312,0,98,0,0,0
a1,base_pre,1.2388,0,98,0,0,0
a1,base_pre,1.2429,0,98,0,0,0
a1,base_pre,1.2471,0,98,0,0,0
a1,base_pre,1.2581,0,98,0,0,0
a1,base_pre,1.2623,0,98,0,0,0
a1,base_pre,1.2696,0,98,0,0,0
a1,base_pre,1.2744,0,98,0,0,0
a1,base_pre,1.2878,0,98,0,0,0
a1,base_pre,1.2920,0,98,0,0,0
a1,base_pre,1.3001,0,98,0,0,0
a1,base_pre,1.3043,0,98,0,0,0
a1,base_pre,1.3084,0,98,0,0,0
a1,base_pre,1.3203,0,98,0,0,0
a1,base_pre,1.3300,0,98,0,0,0
a1,base_pre,1.3342,0,98,0,0,0
a1,base_pre,1.3392,0,98,0,0,0
a1,base_pre,1.3517,0,98,0,0,0
a1,base_pre,1.3619,0,98,0,0,0
a1,base_pre,1.3669,0,98,0,0,0
a1,base_pre,1.3808,0,98,0,0,0
a1,base_pre,1.3857,0,98,0,0,0
a1,base_pre,1.3937,0,98,0,0,0
a1,base_pre,1.3984,0,98,0,0,0
a1,base_pre,1.4117,0,98,0,0,0
a1,base_pre,1.4157,0,98,0,0,0
a1,base_pre,1.4244,0,98,0,0,0
a1,base_pre,1.4289,0,98,0,0,0
a1,base_pre,1.4331,0,98,0,0,0
a1,base_pre,1.4442,0,98,0,0,0
a1,base_pre,1.4538,0,98,0,0,0
a1,base_pre,1.4593,0,98,0,0,0
a1,base_pre,1.4639,0,98,0,0,0
a1,base_pre,1.4758,0,98,0,0,0
a1,base_pre,1.4859,0,98,0,0,0
a1,base_pre,1.4910,0,98,0,0,0
a1,base_pre,1.5049,0,98,0,0,0
a1,base_pre,1.5099,0,98,0,0,0
a1,base_pre,1.5181,0,98,0,0,0
a1,base_pre,1.5228,0,98,0,0,0
a1,base_pre,1.5373,0,98,0,0,0
a1,base_pre,1.5470,0,98,0,0,0
a1,base_pre,1.5512,0,98,0,0,0
a1,base_pre,1.5563,0,98,0,0,0
a1,base_pre,1.5680,0,98,0,0,0
a1,base_pre,1.5722,0,98,0,0,0
