n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
3,2,cerrar,266,264,1502.0,1506,4.0,254,381,127,4/0,10/0,44,0
8,1,cerrar,266,265,1503,1505,2,319,361,42,8/4,9/0,44,0
1,1,abrir,266,267,1503.0,1503.0,0.0,306,305,-1,10/4,7/2,44,0
7,1,cerrar,266,265,1503.0,1505,2.0,307,353,46,4/0,3/0,44,0
8,3,cerrar,266,263,1503,1510,7,301,479,178,12/1,13/0,44,0
3,1,abrir,266,267,1503,1503.0,0.0,311,311,0,9/0,8/0,44,0
1,1,cerrar,266,265,1503,1506.0,3.0,311,347,36,10/0,5/4,44,0
1,10,abrir,266,276,1503,1487,-16,286,40,-246,10/0,16/0,44,0
4,10,abrir,266,276,1502,1487,-15,206,41,-165,13/0,9/2,44,0
4,3,abrir,266,269,1502,1500.0,-2.0,209,159,-50,12/0,6/0,44,0
6,1,abrir,266,267,1501.0,1502,1.0,216,215,-1,7/6,9/6,44,0
3,5,cerrar,266,261,1502,1512,10,221,518,297,9/7,10/0,44,0
2,3,abrir,266,269,1504,1500.0,-4.0,304,143,-161,11/0,5/2,44,0
1,3,cerrar,266,263,1502,1509.0,7.0,182,451,269,8/0,13/0,44,0
0,10,cerrar,266,256,1504.0,1519,15.0,301,692,391,9/0,9/0,44,0
2,1,cerrar,266,265,1504,1506,2,273,305,32,10/3,3/1,44,0
7,3,cerrar,266,263,1503.0,1509,6.0,250,414,164,9/0,9/0,44,0
7,10,cerrar,266,256,1503,1517.0,14.0,267,674,407,8/0,8/0,44,0
8,5,abrir,266,271,1504.0,1496,-8.0,268,75,-193,2/2,10/5,44,0
6,5,cerrar,266,261,1501,1510.0,9.0,169,485,316,9/0,9/0,44,0
9,1,abrir,266,267,1503.0,1504,1.0,290,291,1,1/0,3/0,44,0
6,1,cerrar,266,265,1503,1506,3,291,323,32,8/0,13/0,44,0
