n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
3,2,cerrar,413,411,812,813,1,249,256,7,6/0,9/0,28,0
8,1,cerrar,413,412,812.0,812,0.0,251,249,-2,9/1,9/0,30,0
1,1,abrir,413,414,812.0,812,0.0,247,247,0,12/0,8/0,28,0
7,1,cerrar,413,412,812,812,0,247,246,-1,5/0,7/0,30,0
8,3,cerrar,413,410,812.0,814,2.0,245,260,15,8/0,5/0,28,0
3,1,abrir,413,414,813,813,0,257,255,-2,5/0,10/0,30,0
1,1,cerrar,413,412,812,812,0,251,251,0,8/0,16/0,30,0
1,10,abrir,413,423,812.0,804,-8.0,250,178,-72,5/0,4/0,28,0
4,10,abrir,413,423,812.0,804,-8.0,242,179,-63,10/0,9/0,30,0
4,3,abrir,413,416,812,808.0,-4.0,242,230,-12,8/0,12/2,30,0
6,1,abrir,413,414,812,812.0,0.0,244,243,-1,8/0,11/0,30,0
3,5,cerrar,413,408,812.0,815,3.0,241,258,17,12/0,10/0,30,0
2,3,abrir,413,416,815.0,808.0,-7.0,258,213,-45,9/1,18/0,30,0
1,3,cerrar,413,410,812.0,813.0,1.0,245,248,3,11/0,14/0,30,0
0,10,cerrar,413,403,813,818,5,247,286,39,7/0,10/1,30,0
2,1,cerrar,413,412,811.0,813,2.0,240,260,20,0/0,10/0,28,0
7,3,cerrar,413,410,813.0,813.0,0.0,260,260,0,3/0,2/0,30,0
7,10,cerrar,413,403,813,818,5,260,286,26,8/0,12/0,30,0
8,5,abrir,413,418,811.0,808,-3.0,242,204,-38,11/0,3/0,30,0
6,5,cerrar,413,408,812.0,814,2.0,240,251,11,8/0,7/0,30,0
9,1,abrir,413,414,814,814.0,0.0,252,250,-2,13/0,7/0,30,0
6,1,cerrar,413,412,813,813,0,249,249,0,5/0,13/0,30,0
4,2,cerrar,413,411,813,813.0,0.0,249,250,1,11/0,11/0,30,0
0,1,abrir,413,414,813,813,0,249,249,0,12/0,7/0,30,0
9,3,abrir,413,416,813,808.0,-5.0,249,207,-42,8/0,16/0,30,0
0,2,abrir,413,415,812.0,810.0,-2.0,240,228,-12,8/0,7/0,30,0
2,2,cerrar,413,411,812,814,2,241,251,10,9/0,12/0,30,0
