n,step_units,dir,cmd_before,cmd_after,pos_before,pos_after,dpos,f_before,f_after,df,fresh_before_f/p,fresh_after_f/p,temp_c,aborted
2,3,abrir,282,285,1473,1469.0,-4.0,510,447,-63,15/10,7/0,40,0
3,5,abrir,282,287,1476,1468.0,-8.0,521,420,-101,7/7,10/7,40,0
9,5,cerrar,282,277,1476.0,1482,6.0,511,639,128,11/6,12/3,40,0
6,5,abrir,282,287,1476.0,1467.0,-9.0,533,325,-208,5/7,19/9,40,0
4,10,cerrar,282,272,1474,1491.0,17.0,397,797,400,14/10,14/4,40,0
2,10,cerrar,282,272,1476.0,1490,14.0,402,755,353,16/2,11/8,40,0
7,10,cerrar,282,272,1476,1491,15,405,741,336,8/2,9/2,40,0
5,3,cerrar,282,279,1476.0,1479,3.0,402,426,24,11/2,17/6,40,0
7,3,cerrar,282,279,1476,1478.0,2.0,410,425,15,4/5,14/1,40,0
0,10,abrir,282,292,1475.0,1460,-15.0,402,92,-310,6/5,7/5,40,0
5,10,abrir,282,292,1473,1459.0,-14.0,358,98,-260,9/6,9/8,40,0
8,10,abrir,282,292,1473.0,1459,-14.0,369,99,-270,13/4,12/5,40,0
3,5,cerrar,282,277,1473,1481.0,8.0,366,552,186,15/3,13/3,40,0
7,5,cerrar,282,277,1476.0,1481,5.0,446,557,111,21/8,12/7,40,0
8,5,cerrar,282,277,1475.0,1480,5.0,439,528,89,9/0,13/2,40,0
9,10,abrir,282,292,1476.0,1459.0,-17.0,449,86,-363,20/3,8/12,40,0
0,3,cerrar,282,279,1473,1478,5,355,461,106,17/8,15/8,40,0
1,3,cerrar,282,279,1475,1478,3,442,479,37,13/6,14/9,40,0
1,10,cerrar,282,272,1474.0,1491.0,17.0,425,747,322,10/5,11/2,40,0
8,5,abrir,282,287,1476.0,1467.0,-9.0,396,225,-171,6/4,16/6,40,0
4,3,abrir,282,285,1473.0,1473.0,0.0,288,271,-17,10/7,14/4,40,0
5,3,abrir,282,285,1473,1471,-2,301,278,-23,15/1,12/5,40,0
1,10,abrir,282,292,1474,1460,-14,314,81,-233,14/2,16/7,40,0
6,10,cerrar,282,272,1473.0,1491,18.0,345,736,391,15/4,10/4,40,0
0,5,cerrar,282,277,1476.0,1481.0,5.0,382,460,78,16/6,1/1,40,0
5,5,abrir,282,287,1481.0,1468,-13.0,460,223,-237,1/2,6/2,40,0
0,3,abrir,282,285,1474,1471.0,-3.0,283,261,-22,16/3,16/2,40,0
5,10,cerrar,282,272,1473.0,1491,18.0,289,724,435,14/4,11/5,40,0
1,3,abrir,282,285,1476,1471.0,-5.0,388,279,-109,12/2,12/4,40,0
3,3,cerrar,282,279,1478.0,1478,0.0,332,375,43,12/3,13/6,40,0
7,3,abrir,282,285,1476,1471,-5,357,284,-73,12/8,13/6,40,0
7,10,abrir,282,292,1476.0,1461.0,-15.0,332,67,-265,4/5,16/7,40,0
1,5,cerrar,282,277,1473.0,1483,10.0,336,532,196,12/3,14/4,40,0
4,3,cerrar,282,279,1474.0,1478,4.0,413,442,29,12/5,17/7,40,0
0,10,cerrar,282,272,1476.0,1490,14.0,408,711,303,16/3,10/4,40,0
9,10,cerrar,282,272,1476,1490,14,380,694,314,12/4,10/5,40,0
9,3,cerrar,282,279,1476,1481.0,5.0,378,429,51,16/6,14/7,40,0
4,5,abrir,282,287,1475.0,1469,-6.0,358,225,-133,13/3,13/4,40,0
3,10,abrir,282,292,1476.0,1460.0,-16.0,293,69,-224,19/3,11/4,40,0
9,5,abrir,282,287,1473.0,1467.0,-6.0,332,269,-64,14/1,14/5,40,0
6,3,cerrar,282,279,1473.0,1480.0,7.0,330,456,126,12/2,9/0,40,0
3,10,cerrar,282,272,1474,1491,17,401,715,314,8/5,8/2,40,0
8,3,abrir,282,285,1476.0,1471.0,-5.0,377,275,-102,12/2,12/4,40,0
8,3,cerrar,282,279,1473,1478,5,305,376,71,12/2,15/3,40,0
2,10,abrir,282,292,1475.0,1461,-14.0,355,63,-292,22/3,10/9,40,0
3,3,abrir,282,285,1473,1473.0,0.0,329,316,-12,13/3,12/3,40,0
7,5,abrir,282,287,1473.0,1467,-6.0,342,281,-60,16/7,10/0,40,0
2,5,cerrar,282,277,1473.0,1483,10.0,333,536,203,10/2,14/3,40,0
0,5,abrir,282,287,1476.0,1469,-7.0,421,252,-169,12/3,6/4,40,0
9,3,abrir,282,285,1474,1471,-3,309,279,-30,12/5,13/4,40,0
5,5,cerrar,282,277,1476,1483.0,7.0,320,524,204,6/11,8/4,40,0
1,5,abrir,282,287,1475,1469.0,-6.0,411,255,-156,18/2,10/6,40,0
2,5,abrir,282,287,1475,1467,-8,314,239,-75,20/3,9/4,40,0
6,3,abrir,282,285,1475,1471,-4,310,274,-36,9/3,9/5,40,0
2,3,cerrar,282,279,1475.0,1478,3.0,319,410,91,9/5,12/9,40,0
6,5,cerrar,282,277,1473.0,1483.0,10.0,377,514,137,15/6,12/7,40,0
6,10,abrir,282,292,1475,1459.0,-16.0,415,57,-358,16/4,10/0,40,0
8,10,cerrar,282,272,1473,1490,17,330,715,385,13/5,7/3,40,0
4,5,cerrar,282,277,1476.0,1482.0,6.0,370,443,72,15/2,17/7,40,0
4,10,abrir,282,292,1475.0,1460,-15.0,359,60,-299,14/4,15/7,40,0
