cycle,phase,t_s,force_g,pos_act,cur_mA,fresh_f,fresh_p
a1,base_pre,0.0025,1,244,0,1,1
a1,base_pre,0.0100,1,244,0,0,0
a1,base_pre,0.0151,1,244,0,0,0
a1,base_pre,0.0296,1,244,0,1,0
a1,base_pre,0.0395,1,244,0,0,1
a1,base_pre,0.0446,1,244,0,0,0
a1,base_pre,0.0491,1,244,0,0,0
a1,base_pre,0.0610,1,244,0,0,0
a1,base_pre,0.0717,1,244,0,0,1
a1,base_pre,0.0776,1,244,0,0,0
a1,base_pre,0.0918,1,244,0,0,0
a1,base_pre,0.1030,1,244,0,0,0
a1,base_pre,0.1084,1,244,0,0,0
a1,base_pre,0.1223,1,244,0,0,0
a1,base_pre,0.1266,1,244,0,0,1
a1,base_pre,0.1340,1,244,0,0,0
a1,base_pre,0.1391,1,244,0,0,0
a1,base_pre,0.1536,1,244,0,0,0
a1,base_pre,0.1637,1,244,0,0,1
a1,base_pre,0.1688,1,244,0,0,0
a1,base_pre,0.1735,0,244,0,1,0
a1,base_pre,0.1847,0,244,0,0,0
a1,base_pre,0.1947,0,244,0,0,0
a1,base_pre,0.1994,0,244,0,0,0
a1,base_pre,0.2045,0,244,0,0,0
a1,base_pre,0.2162,0,244,0,0,0
a1,base_pre,0.2263,0,244,0,0,0
a1,base_pre,0.2313,0,244,0,1,0
a1,base_pre,0.2454,0,244,0,0,0
a1,base_pre,0.2505,0,244,0,0,0
a1,base_pre,0.2579,0,244,0,0,0
a1,base_pre,0.2625,0,244,0,0,0
a1,base_pre,0.2764,0,244,0,0,0
a1,base_pre,0.2806,0,244,0,0,0
a1,base_pre,0.2892,0,244,0,0,0
a1,base_pre,0.2941,1,244,0,1,0
a1,base_pre,0.3074,1,244,0,0,0
a1,base_pre,0.3116,1,244,0,0,0
a1,base_pre,0.3195,1,244,0,0,0
a1,base_pre,0.3237,1,244,0,0,0
a1,base_pre,0.3278,1,244,0,0,0
a1,base_pre,0.3397,1,244,0,0,0
a1,base_pre,0.3493,1,244,0,0,0
a1,base_pre,0.3535,1,244,0,0,0
a1,base_pre,0.3577,1,244,0,0,0
a1,base_pre,0.3708,1,244,0,0,0
a1,base_pre,0.3806,1,244,0,0,0
a1,base_pre,0.3855,1,244,0,0,0
a1,base_pre,0.4006,1,244,0,0,0
a1,base_pre,0.4048,1,244,0,0,0
a1,base_pre,0.4129,1,244,0,0,0
a1,base_pre,0.4172,1,244,0,0,0
a1,base_pre,0.4313,1,244,0,0,0
a1,base_pre,0.4360,1,244,0,0,0
a1,base_pre,0.4455,1,244,0,0,0
a1,base_pre,0.4509,1,244,0,0,0
a1,base_pre,0.4647,1,244,0,0,0
a1,base_pre,0.4749,1,244,0,0,0
a1,base_pre,0.4805,1,244,0,0,0
a1,base_pre,0.4941,1,244,0,0,0
a1,base_pre,0.4987,1,244,0,0,0
a1,base_pre,0.5067,1,244,0,0,0
a1,base_pre,0.5121,1,244,0,0,0
a1,base_pre,0.5267,1,244,0,1,0
a1,base_pre,0.5370,1,244,0,0,0
a1,base_pre,0.5424,1,244,0,0,0
a1,base_pre,0.5563,1,244,0,1,0
a1,base_pre,0.5609,1,244,0,0,0
a1,base_pre,0.5683,1,244,0,0,0
a1,base_pre,0.5730,1,244,0,0,0
a1,base_pre,0.5864,1,244,0,0,0
a1,base_pre,0.5906,1,244,0,0,0
a1,base_pre,0.5989,1,244,0,0,0
a1,base_pre,0.6031,1,244,0,0,0
a1,base_pre,0.6072,1,244,0,0,0
a1,base_pre,0.6192,1,244,0,0,0
a1,base_pre,0.6287,1,244,0,0,0
a1,base_pre,0.6338,1,244,0,0,0
a1,base_pre,0.6387,1,244,0,1,0
a1,base_pre,0.6506,1,244,0,0,0
a1,base_pre,0.6602,1,244,0,0,0
a1,base_pre,0.6647,1,244,0,0,0
a1,base_pre,0.6690,1,244,0,0,0
a1,base_pre,0.6811,1,244,0,0,0
a1,base_pre,0.6904,1,244,0,0,0
a1,base_pre,0.6946,1,244,0,0,0
a1,base_pre,0.6993,1,244,0,1,0
a1,base_pre,0.7113,1,244,0,0,0
a1,base_pre,0.7155,1,244,0,0,0
a1,base_pre,0.7226,1,244,0,0,0
