t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,59,0,,
0.001304,59,,,
0.002238,59,,,
0.011734,59,,,
0.012670,59,,,
0.013871,59,,,
0.015286,59,,,
0.016475,59,,,
0.017709,59,0,,
0.024401,59,,,
0.025530,59,,,
0.026629,59,,,
0.027746,59,,,
0.028881,59,,,
0.030011,59,,,
0.031087,59,,,
0.032151,59,0,,
0.042825,58,,,
0.043875,58,,,
0.044930,58,,,
0.045970,58,,,
0.047051,58,,,
0.048133,58,,,
0.053933,58,,,
0.054992,58,-1,,
0.057183,58,,,
0.058207,58,,,
0.059219,58,,,
0.060274,58,,,
0.061352,58,,,
0.062422,58,,,
0.063559,58,,,
0.064682,58,0,,
0.075180,58,,,
0.076182,58,,,
0.077210,58,,,
0.078245,58,,,
0.079304,58,,,
0.085176,58,,,
0.086313,58,,,
0.087370,58,0,,
0.089538,58,,,
0.090566,58,,,
0.091552,58,,,
0.092514,58,,,
0.093472,58,,,
0.094464,58,,,
0.095429,58,,,
0.105042,58,0,,
0.107286,58,,,
0.108335,58,,,
0.109358,58,,,
0.110366,58,,,
0.115947,58,,,
0.116940,58,,,
0.117790,58,,,
0.118554,58,0,,
0.120579,58,,,
0.121628,58,,,
0.122806,58,,,
0.123681,58,,,
0.124333,58,,,
0.124966,58,,,
0.125610,58,,,
0.126231,58,0,,
0.136687,58,,,
0.137678,58,,,
0.138726,58,,,
0.139704,58,,,
0.140617,58,,,
0.141790,58,,,
0.147272,58,,,
0.148353,58,0,,
0.150612,58,,,
0.151707,58,,,
0.152760,58,,,
0.153819,58,,,
0.154765,58,,,
0.155546,58,,,
0.156674,58,,,
0.166835,58,0,,
0.169160,58,,,
0.170301,58,,,
0.171426,58,,,
0.172535,58,,,
0.178371,58,,,
0.179394,58,,,
0.180408,58,,,
0.181472,58,0,,
0.183699,58,,,
0.184640,58,,,
0.185558,58,,,
0.186322,58,,,
0.187234,58,,,
0.188180,58,,,
0.197699,58,,,
0.198664,58,0,,
0.200670,58,,,
0.202857,58,,,
0.208816,58,,,
0.209694,58,,,
0.210345,58,,,
0.210968,58,,,
0.211692,58,,,
0.212570,58,0,,
0.213805,58,,,
0.214484,58,,,
0.215091,58,,,
0.215704,58,,,
0.216364,58,,,
0.216990,58,,,
0.217650,58,,,
0.218466,58,0,,
0.228961,58,,,
0.229950,58,,,
0.230919,58,,,
0.231592,58,,,
0.232565,58,,,
0.233557,58,,,
0.234527,58,,,
0.240115,58,0,,
0.242085,58,,,
0.243043,58,,,
0.244017,58,,,
0.245048,58,,,
0.246059,58,,,
0.247039,58,,,
0.247837,58,,,
0.248760,58,0,,
0.259772,58,,,
0.260771,58,,,
0.261814,58,,,
0.262842,58,,,
0.263898,58,,,
0.264953,58,,,
0.271322,58,,,
0.272471,58,0,,
0.274568,58,,,
0.275603,58,,,
0.276761,58,,,
0.277709,58,,,
0.278346,58,,,
0.278942,58,,,
0.279899,76,,,
0.280549,76,32,,
0.290917,76,,,
0.291508,76,,,
0.292138,76,,,
0.292748,76,,,
0.293390,76,,,
0.294025,76,,,
0.294634,76,,,
0.295292,76,32,,
0.301872,76,,,
0.302994,76,,,
0.303971,76,,,
0.304930,76,,,
0.305578,76,,,
0.306205,76,,,
0.307138,76,,,
0.308077,76,32,,
0.309349,102,,,
0.309955,102,,,
0.310949,102,,,
0.311929,102,,,
0.321786,102,,,
