trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted
A_dof3_v25_F750_n04.csv,3,25,750,124,-626,101,880,827,78,0
A_dof3_v750_F100_n03.csv,3,750,100,128,28,-8,136,842,78,0
A_dof3_v250_F1000_n01.csv,3,250,1000,1492,492,634,1166,782,78,0
A_dof3_v25_F250_n03.csv,3,25,250,133,-117,108,943,827,78,0
A_dof3_v100_F500_n00.csv,3,100,500,707,207,405,2480,842,78,0
A_dof3_v50_F250_n03.csv,3,50,250,360,110,256,4729,824,79,0
A_dof3_v1000_F100_n00.csv,3,1000,100,136,36,-9,136,,79,0
A_dof3_v250_F100_n03.csv,3,250,100,123,23,-1,137,,78,0
A_dof3_v25_F100_n04.csv,3,25,100,102,2,75,544,,78,0
A_dof3_v250_F500_n04.csv,3,250,500,717,217,446,1004,891,77,0
A_dof3_v1000_F250_n03.csv,3,1000,250,3460,3210,397,390,985,82,1
A_dof3_v750_F500_n00.csv,3,750,500,3590,3090,420,466,982,75,1
A_dof3_v500_F250_n03.csv,3,500,250,2973,2723,321,601,987,76,1
A_dof3_v500_F1000_n03.csv,3,500,1000,3021,2021,470,608,946,79,1
A_dof3_v100_F1000_n03.csv,3,100,1000,1402,402,895,2530,842,78,0
A_dof3_v500_F750_n00.csv,3,500,750,2970,2220,332,600,939,78,1
A_dof3_v50_F1000_n04.csv,3,50,1000,1220,220,950,5003,820,78,0
A_dof3_v250_F100_n01.csv,3,250,100,136,36,-2,126,,77,0
A_dof3_v750_F250_n02.csv,3,750,250,3486,3236,338,446,842,74,1
A_dof3_v100_F250_n01.csv,3,100,250,383,133,150,2405,842,78,0
A_dof3_v50_F500_n01.csv,3,50,500,639,139,479,4854,825,78,0
A_dof3_v250_F100_n00.csv,3,250,100,143,43,0,125,,79,0
A_dof3_v500_F250_n00.csv,3,500,250,2161,1911,416,652,735,78,0
A_dof3_v1000_F750_n02.csv,3,1000,750,3647,2897,421,404,985,79,1
A_dof3_v50_F100_n01.csv,3,50,100,105,5,51,235,,78,0
A_dof3_v500_F750_n04.csv,3,500,750,2918,2168,411,590,982,78,1
A_dof3_v50_F750_n02.csv,3,50,750,1085,335,865,4971,821,78,0
A_dof3_v500_F250_n04.csv,3,500,250,1854,1604,214,601,945,78,0
A_dof3_v750_F500_n02.csv,3,750,500,3580,3080,474,466,983,77,1
A_dof3_v750_F1000_n01.csv,3,750,1000,3211,2211,253,447,1039,74,1
A_dof3_v1000_F250_n00.csv,3,1000,250,3645,3395,405,404,985,77,1
A_dof3_v100_F1000_n00.csv,3,100,1000,1471,471,925,2554,842,78,0
A_dof3_v50_F500_n03.csv,3,50,500,649,149,513,4885,821,78,0
A_dof3_v25_F500_n03.csv,3,25,500,130,-370,93,855,826,78,0
A_dof3_v1000_F1000_n00.csv,3,1000,1000,3638,2638,408,403,984,77,1
A_dof3_v100_F750_n00.csv,3,100,750,924,174,699,2555,840,78,0
A_dof3_v500_F500_n02.csv,3,500,500,3034,2534,305,590,840,76,1
A_dof3_v50_F750_n00.csv,3,50,750,950,200,743,4947,826,78,0
A_dof3_v1000_F1000_n02.csv,3,1000,1000,3502,2502,390,385,840,75,1
A_dof3_v25_F500_n01.csv,3,25,500,127,-373,107,993,820,78,0
A_dof3_v100_F250_n02.csv,3,100,250,389,139,211,2406,842,78,0
A_dof3_v100_F750_n04.csv,3,100,750,1142,392,735,2522,842,78,0
A_dof3_v750_F750_n02.csv,3,750,750,3335,2585,357,453,979,77,1
A_dof3_v1000_F100_n01.csv,3,1000,100,129,29,-7,126,,78,0
A_dof3_v750_F250_n04.csv,3,750,250,3763,3513,299,496,1034,79,1
A_dof3_v50_F250_n00.csv,3,50,250,306,56,196,4700,826,78,0
A_dof3_v50_F100_n03.csv,3,50,100,120,20,61,248,,78,0
A_dof3_v1000_F500_n00.csv,3,1000,500,3238,2738,336,391,974,79,1
A_dof3_v500_F750_n02.csv,3,500,750,3039,2289,453,589,983,80,1
A_dof3_v50_F1000_n03.csv,3,50,1000,1202,202,867,4991,836,78,0
A_dof3_v25_F750_n01.csv,3,25,750,126,-624,101,855,821,78,0
A_dof3_v250_F250_n03.csv,3,250,250,661,411,88,1003,824,77,0
A_dof3_v100_F500_n02.csv,3,100,500,724,224,387,2450,842,78,0
A_dof3_v250_F500_n00.csv,3,250,500,1137,637,319,1055,868,78,0
A_dof3_v750_F100_n01.csv,3,750,100,132,32,-3,136,,78,0
A_dof3_v25_F100_n00.csv,3,25,100,102,2,74,391,,78,0
A_dof3_v500_F100_n02.csv,3,500,100,124,24,-2,135,,79,0
A_dof3_v25_F1000_n03.csv,3,25,1000,124,-876,98,888,821,78,0
A_dof3_v25_F100_n03.csv,3,25,100,107,7,77,391,,78,0
A_dof3_v25_F750_n00.csv,3,25,750,128,-622,103,886,821,78,0
A_dof3_v1000_F1000_n01.csv,3,1000,1000,3301,2301,324,390,973,82,1
A_dof3_v750_F250_n03.csv,3,750,250,3255,3005,339,446,842,74,1
A_dof3_v500_F500_n03.csv,3,500,500,2945,2445,468,590,935,81,1
A_dof3_v1000_F750_n01.csv,3,1000,750,842,92,786,0,,78,0
A_dof3_v750_F750_n01.csv,3,750,750,3564,2814,412,466,983,75,1
A_dof3_v100_F100_n02.csv,3,100,100,113,13,22,156,,78,0
A_dof3_v250_F250_n00.csv,3,250,250,256,6,40,980,869,77,0
A_dof3_v500_F500_n01.csv,3,500,500,1943,1443,174,590,981,79,0
A_dof3_v250_F750_n00.csv,3,250,750,2855,2105,572,1117,872,77,1
A_dof3_v1000_F100_n02.csv,3,1000,100,132,32,-9,125,,78,0
A_dof3_v750_F750_n03.csv,3,750,750,3504,2754,273,446,1058,74,1
A_dof3_v500_F1000_n00.csv,3,500,1000,2981,1981,453,609,943,79,1
A_dof3_v250_F250_n04.csv,3,250,250,669,419,100,1003,824,77,0
A_dof3_v25_F750_n03.csv,3,25,750,134,-616,100,837,821,78,0
A_dof3_v50_F100_n00.csv,3,50,100,113,13,51,266,,77,0
A_dof3_v250_F100_n04.csv,3,250,100,128,28,0,112,,78,0
A_dof3_v50_F500_n02.csv,3,50,500,629,129,467,4837,826,78,0
A_dof3_v1000_F100_n04.csv,3,1000,100,138,38,-9,125,,78,0
A_dof3_v750_F500_n01.csv,3,750,500,3596,3096,443,466,981,77,1
A_dof3_v100_F500_n04.csv,3,100,500,664,164,376,2460,840,78,0
A_dof3_v25_F1000_n04.csv,3,25,1000,132,-868,110,880,826,78,0
A_dof3_v1000_F500_n01.csv,3,1000,500,3417,2917,362,385,840,78,1
A_dof3_v100_F1000_n02.csv,3,100,1000,1439,439,954,2562,822,79,0
A_dof3_v50_F500_n00.csv,3,50,500,554,54,455,4825,821,79,0
A_dof3_v750_F100_n04.csv,3,750,100,132,32,-7,105,,78,0
A_dof3_v100_F250_n00.csv,3,100,250,409,159,171,2399,842,79,0
A_dof3_v750_F1000_n04.csv,3,750,1000,3611,2611,398,465,981,75,1
A_dof3_v250_F750_n01.csv,3,250,750,1082,332,672,1036,868,79,0
A_dof3_v500_F1000_n02.csv,3,500,1000,2946,1946,449,607,942,79,1
A_dof3_v250_F100_n02.csv,3,250,100,140,40,-2,135,,78,0
A_dof3_v500_F100_n03.csv,3,500,100,130,30,-11,94,,78,0
A_dof3_v500_F1000_n04.csv,3,500,1000,3059,2059,452,590,937,81,1
A_dof3_v750_F250_n00.csv,3,750,250,3240,2990,349,452,970,77,1
A_dof3_v100_F750_n01.csv,3,100,750,1106,356,762,2499,842,79,0
A_dof3_v25_F500_n00.csv,3,25,500,136,-364,113,949,820,78,0
A_dof3_v500_F250_n02.csv,3,500,250,1461,1211,122,570,985,77,0
A_dof3_v250_F1000_n03.csv,3,250,1000,2852,1852,635,1097,824,79,1
