trial,onset_pos,f_base_g,aborted,mount
1,813,58,0,tcp2
2,807,29,0,tcp2
3,808,31,0,tcp2
4,807,31,0,tcp2
5,807,29,0,tcp2
6,807,30,0,tcp2
7,807,31,0,tcp2
8,808,30,0,tcp2
9,808,31,0,tcp2
10,810,32,0,tcp2
11,808,32,0,tcp2
12,808,32,0,tcp2
13,808,32,0,tcp2
14,809,32,0,tcp2
15,808,32,0,tcp2
16,809,32,0,tcp2
17,808,33,0,tcp2
18,808,33,0,tcp2
19,808,32,0,tcp2
20,807,32,0,tcp2
21,815,45,0,tcp2
22,808,19,0,tcp2
23,807,18,0,tcp2
24,808,19,0,tcp2
25,808,18,0,tcp2
26,808,17,0,tcp2
27,807,17,0,tcp2
28,807,17,0,tcp2
29,807,17,0,tcp2
30,808,17,0,tcp2
31,808,18,0,tcp2
32,810,20,0,tcp2
33,809,20,0,tcp2
34,810,20,0,tcp2
35,809,20,0,tcp2
36,809,21,0,tcp2
37,807,20,0,tcp2
38,808,20,0,tcp2
39,808,21,0,tcp2
40,809,20,0,tcp2
41,813,43,0,tcp2
42,809,18,0,tcp2
43,809,18,0,tcp2
44,808,18,0,tcp2
45,807,18,0,tcp2
46,808,17,0,tcp2
47,808,18,0,tcp2
48,809,19,0,tcp2
49,810,18,0,tcp2
50,810,19,0,tcp2
51,808,18,0,tcp2
52,808,18,0,tcp2
53,810,19,0,tcp2
54,809,19,0,tcp2
55,809,20,0,tcp2
56,808,20,0,tcp2
57,808,20,0,tcp2
58,810,21,0,tcp2
59,808,20,0,tcp2
60,809,20,0,tcp2
