speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,100,5,38.0,37.0,13.1,24.0,49.5,20.0,59.0,138.0,0
25,1000,5,101.0,117.6,33.1,87.5,156.0,86.0,171.0,1101.0,0
50,100,5,71.0,74.2,5.6,70.5,79.5,70.0,85.0,171.0,0
50,1000,5,362.0,398.4,161.4,278.0,537.0,202.0,695.0,1362.0,0
100,100,5,136.0,190.6,98.0,128.5,280.0,121.0,383.0,236.0,0
100,1000,5,498.0,580.2,225.4,369.5,832.0,273.0,913.0,1498.0,0
250,100,5,431.0,378.6,77.3,291.5,439.5,244.0,441.0,531.0,0
250,1000,5,1035.0,921.6,317.5,612.5,1174.0,321.0,1211.0,2035.0,1
500,100,4,764.5,948.2,411.9,645.0,1435.2,611.0,1653.0,864.5,0
500,1000,5,1250.0,1195.8,627.5,628.0,1736.5,29.0,1834.0,2250.0,4
750,100,5,2210.0,2541.0,563.2,2025.5,3222.0,1941.0,3263.0,2310.0,4
750,1000,5,2368.0,2395.6,45.5,2355.0,2450.0,2342.0,2454.0,3368.0,5
1000,100,5,2619.0,2637.6,427.4,2286.0,2998.5,1987.0,3335.0,2719.0,4
1000,1000,5,1615.0,1803.0,335.5,1580.5,2119.5,1551.0,2456.0,2615.0,5
