fichero,t_wall_iso,t_unix,n
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.057851,1789664697.058,70
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.094652,1789664697.095,71
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.131202,1789664697.131,72
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.168159,1789664697.168,73
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.202430,1789664697.202,74
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.240627,1789664697.241,75
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.280826,1789664697.281,76
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.316251,1789664697.316,77
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.349066,1789664697.349,78
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.387315,1789664697.387,79
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.418760,1789664697.419,80
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.454067,1789664697.454,81
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.490170,1789664697.490,82
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.525999,1789664697.526,83
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.562360,1789664697.562,84
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.598459,1789664697.598,85
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.634415,1789664697.634,86
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.674803,1789664697.675,87
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.709865,1789664697.710,88
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.744511,1789664697.745,89
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.779182,1789664697.779,90
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.817089,1789664697.817,91
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.851041,1789664697.851,92
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.889231,1789664697.889,93
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.922089,1789664697.922,94
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.958264,1789664697.958,95
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:57.994109,1789664697.994,96
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.030482,1789664698.030,97
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.068229,1789664698.068,98
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.108189,1789664698.108,99
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.143901,1789664698.144,100
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.179164,1789664698.179,101
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.215353,1789664698.215,102
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.249247,1789664698.249,103
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.287222,1789664698.287,104
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.319830,1789664698.320,105
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.354765,1789664698.355,106
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.390279,1789664698.390,107
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.426454,1789664698.426,108
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.465243,1789664698.465,109
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.501040,1789664698.501,110
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.542311,1789664698.542,111
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.575987,1789664698.576,112
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.611113,1789664698.611,113
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.648629,1789664698.649,114
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.682657,1789664698.683,115
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.716811,1789664698.717,116
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.751466,1789664698.751,117
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.789549,1789664698.790,118
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.822005,1789664698.822,119
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.858041,1789664698.858,120
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.895152,1789664698.895,121
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.931636,1789664698.932,122
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:58.968411,1789664698.968,123
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.008778,1789664699.009,124
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.042471,1789664699.042,125
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.080552,1789664699.081,126
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.116016,1789664699.116,127
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.148057,1789664699.148,128
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.186214,1789664699.186,129
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.218698,1789664699.219,130
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.253834,1789664699.254,131
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.290414,1789664699.290,132
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.326401,1789664699.326,133
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.362027,1789664699.362,134
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.398619,1789664699.399,135
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.434409,1789664699.434,136
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.473486,1789664699.474,137
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.506784,1789664699.507,138
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.547287,1789664699.547,139
g3_brio_mand_20260917_120452.mp4,2026-09-17T12:04:59.582418,1789664699.582,140
