fichero,t_wall_iso,t_unix,n
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.056495,1789674515.057,64
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.093525,1789674515.094,65
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.126237,1789674515.126,66
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.153399,1789674515.153,67
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.189289,1789674515.189,68
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.220249,1789674515.220,69
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.252356,1789674515.252,70
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.292444,1789674515.292,71
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.320915,1789674515.321,72
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.354985,1789674515.355,73
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.392677,1789674515.393,74
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.424195,1789674515.424,75
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.455829,1789674515.456,76
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.502656,1789674515.503,77
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.520325,1789674515.520,78
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.555253,1789674515.555,79
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.593681,1789674515.594,80
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.622640,1789674515.623,81
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.654019,1789674515.654,82
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.689994,1789674515.690,83
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.720118,1789674515.720,84
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.752130,1789674515.752,85
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.788065,1789674515.788,86
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.820300,1789674515.820,87
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.853546,1789674515.854,88
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.895336,1789674515.895,89
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.921987,1789674515.922,90
g7_c925_cubo_m2_20260917_144831.mp4,2026-09-17T14:48:35.958600,1789674515.959,91
