fichero,t_wall_iso,t_unix,n
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.102409,1789674651.102,69
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.133548,1789674651.134,70
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.172639,1789674651.173,71
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.201315,1789674651.201,72
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.239916,1789674651.240,73
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.269524,1789674651.270,74
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.302283,1789674651.302,75
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.334612,1789674651.335,76
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.370275,1789674651.370,77
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.402377,1789674651.402,78
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.440154,1789674651.440,79
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.469820,1789674651.470,80
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.502174,1789674651.502,81
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.534497,1789674651.535,82
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.569839,1789674651.570,83
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.599473,1789674651.599,84
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.635826,1789674651.636,85
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.670647,1789674651.671,86
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.707984,1789674651.708,87
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.731909,1789674651.732,88
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.769592,1789674651.770,89
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.804496,1789674651.805,90
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.839688,1789674651.840,91
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.878764,1789674651.879,92
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.899040,1789674651.899,93
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.934727,1789674651.935,94
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:51.971305,1789674651.971,95
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.002339,1789674652.002,96
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.038904,1789674652.039,97
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.069469,1789674652.069,98
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.102249,1789674652.102,99
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.131201,1789674652.131,100
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.167505,1789674652.168,101
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.199589,1789674652.200,102
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.235012,1789674652.235,103
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.266475,1789674652.266,104
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.298485,1789674652.298,105
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.331832,1789674652.332,106
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.372306,1789674652.372,107
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.401838,1789674652.402,108
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.438906,1789674652.439,109
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.469906,1789674652.470,110
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.502143,1789674652.502,111
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.534316,1789674652.534,112
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.572950,1789674652.573,113
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.601224,1789674652.601,114
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.640939,1789674652.641,115
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.669418,1789674652.669,116
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.702154,1789674652.702,117
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.734888,1789674652.735,118
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.769233,1789674652.769,119
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.799677,1789674652.800,120
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.839284,1789674652.839,121
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.870891,1789674652.871,122
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.903570,1789674652.904,123
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.939105,1789674652.939,124
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:52.970070,1789674652.970,125
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.002529,1789674653.003,126
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.040328,1789674653.040,127
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.067138,1789674653.067,128
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.101702,1789674653.102,129
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.134745,1789674653.135,130
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.172338,1789674653.172,131
c4_c925_cubo_20260917_145047.mp4,2026-09-17T14:50:53.201879,1789674653.202,132
