index,dt_ms,ok
0,10.493307,1
1,6.184284,1
2,13.715252,1
3,12.527078,1
4,6.268997,1
5,12.624746,1
6,10.518105,1
7,6.196037,1
8,13.650492,1
9,6.240775,1
10,6.174062,1
11,7.218760,1
12,11.560289,1
13,12.828772,1
14,6.471428,1
15,11.643042,1
16,12.631051,1
17,6.235981,1
18,12.599670,1
19,11.648149,1
20,6.135803,1
21,12.644993,1
22,12.564032,1
23,7.268437,1
24,11.567943,1
25,11.560892,1
26,6.159718,1
27,13.743172,1
28,11.530974,1
29,7.172453,1
30,11.631462,1
31,12.674865,1
32,6.208641,1
33,13.743427,1
34,10.529294,1
35,7.235583,1
36,11.636489,1
37,11.514575,1
38,6.230554,1
39,13.679475,1
40,11.636370,1
41,7.189223,1
42,11.562964,1
43,12.605932,1
44,6.282767,1
45,13.678319,1
46,10.625603,1
47,7.186661,1
48,12.644945,1
49,11.507568,1
50,6.207654,1
51,13.734763,1
52,10.549573,1
53,7.284603,1
54,12.651080,1
55,11.540532,1
56,6.178866,1
57,13.703463,1
58,10.495864,1
59,7.331569,1
60,12.620193,1
61,11.539106,1
62,7.243687,1
63,12.642544,1
64,10.457910,1
65,6.260226,1
66,13.637079,1
67,11.607584,1
68,7.211644,1
69,12.754208,1
70,10.417092,1
71,6.255957,1
72,13.664849,1
73,11.578229,1
74,7.221937,1
75,12.520651,1
76,11.483373,1
77,7.233709,1
78,12.653565,1
79,10.458015,1
80,6.263619,1
81,13.682045,1
82,11.663783,1
83,6.243104,1
84,13.762840,1
85,10.592601,1
86,7.306182,1
87,12.674246,1
88,10.409785,1
89,6.124926,1
90,14.313579,1
91,10.845936,1
92,6.257659,1
93,13.724943,1
94,11.641111,1
95,6.152532,1
96,13.702238,1
97,10.376458,1
98,6.253568,1
99,13.718165,1
100,11.552019,1
101,7.284635,1
102,12.599562,1
103,10.477840,1
104,6.144262,1
105,14.790255,1
106,10.395889,1
107,7.365309,1
108,12.554556,1
109,11.636021,1
110,6.250102,1
111,13.182562,1
112,10.983245,1
113,7.752322,1
114,12.074554,1
115,10.959345,1
116,6.304308,1
117,14.411848,1
118,10.963379,1
119,6.452605,1
120,13.095145,1
121,10.909835,1
122,7.661370,1
123,12.142025,1
124,11.036900,1
125,6.341607,1
126,14.373804,1
127,10.881766,1
128,6.393586,1
129,12.997758,1
130,10.775610,1
131,6.239775,1
132,13.741464,1
133,11.500866,1
134,7.348284,1
135,12.639050,1
136,10.586868,1
137,6.158885,1
138,14.736673,1
139,11.515691,1
140,7.318313,1
141,11.530454,1
142,11.556943,1
143,6.221451,1
144,13.724585,1
145,10.443652,1
146,7.223454,1
147,12.694539,1
148,12.677446,1
149,6.205477,1
150,12.509391,1
151,10.523850,1
152,6.131347,1
153,13.726958,1
154,11.513227,1
155,7.319774,1
156,12.624649,1
157,11.570639,1
158,6.164000,1
159,12.658936,1
160,12.594978,1
161,7.335061,1
162,11.503617,1
163,11.535430,1
164,6.229049,1
165,13.724008,1
166,11.520298,1
167,7.229272,1
168,11.621715,1
169,12.571173,1
170,6.272989,1
171,12.706317,1
172,11.560449,1
173,7.287470,1
174,12.783100,1
175,10.438420,1
176,6.281106,1
177,13.828980,1
178,10.758846,1
179,6.570987,1
180,13.743592,1
181,11.513711,1
182,6.223109,1
183,13.712880,1
184,10.638759,1
185,7.205978,1
186,12.616169,1
187,11.532738,1
188,6.199274,1
189,13.749144,1
190,10.450127,1
191,7.314859,1
192,12.584620,1
193,11.553121,1
194,7.169729,1
195,12.686956,1
196,10.437664,1
197,6.264341,1
198,13.719951,1
199,11.596964,1
200,7.180545,1
201,12.819270,1
202,10.423450,1
203,6.241451,1
204,13.671638,1
205,11.604761,1
206,7.184545,1
207,12.702546,1
208,10.449469,1
209,6.240439,1
210,13.721223,1
211,11.627346,1
212,7.237137,1
213,12.720687,1
214,10.352299,1
215,6.190422,1
216,13.770042,1
217,11.527313,1
218,7.304143,1
219,12.593995,1
