trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g
A_dof4_v25_F1000_n01.csv,4,25,1000,1035,35,927,5592,808,78,0,5:0,105,19
A_dof4_v250_F750_n03.csv,4,250,750,1105,355,747,590,794,78,0,5:0,101,19
A_dof4_v1000_F1000_n03.csv,4,1000,1000,2522,1522,469,311,817,78,1,5:0,114,20
A_dof4_v50_F250_n01.csv,4,50,250,290,40,240,2306,809,78,0,5:0,46,21
A_dof4_v25_F250_n02.csv,4,25,250,271,21,244,4555,805,78,0,5:0,47,33
A_dof4_v50_F500_n04.csv,4,50,500,572,72,468,2511,811,77,0,5:0,78,18
A_dof4_v25_F1000_n00.csv,4,25,1000,1044,44,966,5593,808,78,0,5:0,102,20
A_dof4_v250_F1000_n00.csv,4,250,1000,1350,350,942,650,773,78,0,5:0,108,19
A_dof4_v50_F1000_n00.csv,4,50,1000,1075,75,927,2802,811,78,0,5:0,108,20
A_dof4_v100_F500_n03.csv,4,100,500,640,140,489,1296,803,78,0,5:0,81,20
A_dof4_v500_F750_n03.csv,4,500,750,1429,679,718,377,827,80,0,5:0,110,19
A_dof4_v750_F100_n00.csv,4,750,100,1201,1101,413,340,727,78,0,5:0,106,19
A_dof4_v100_F100_n03.csv,4,100,100,174,74,103,1108,808,78,0,5:0,32,18
A_dof4_v50_F100_n02.csv,4,50,100,124,24,98,2121,800,78,0,5:0,22,19
A_dof4_v1000_F750_n00.csv,4,1000,750,1658,908,623,342,725,78,0,5:0,111,19
A_dof4_v750_F500_n03.csv,4,750,500,1340,840,390,302,796,78,0,5:0,102,20
A_dof4_v1000_F250_n04.csv,4,1000,250,2228,1978,284,311,720,79,1,5:0,113,20
A_dof4_v100_F750_n02.csv,4,100,750,905,155,694,1387,803,78,0,5:0,89,21
A_dof4_v100_F100_n00.csv,4,100,100,166,66,101,1109,802,78,0,5:0,31,19
A_dof4_v1000_F750_n03.csv,4,1000,750,2415,1665,355,340,731,75,1,5:0,136,17
A_dof4_v500_F750_n01.csv,4,500,750,1585,835,813,385,735,78,0,5:0,108,20
A_dof4_v250_F500_n01.csv,4,250,500,822,322,520,600,793,78,0,5:0,78,21
A_dof4_v25_F750_n04.csv,4,25,750,780,30,700,5325,809,78,0,5:0,95,20
A_dof4_v750_F100_n03.csv,4,750,100,1317,1217,368,304,796,78,0,5:0,107,19
A_dof4_v250_F1000_n01.csv,4,250,1000,1299,299,909,649,769,78,0,5:0,101,35
A_dof4_v25_F250_n03.csv,4,25,250,270,20,228,4581,808,78,0,5:0,50,23
A_dof4_v100_F500_n00.csv,4,100,500,602,102,458,1296,803,78,0,5:0,89,20
A_dof4_v50_F250_n03.csv,4,50,250,288,38,242,2325,808,78,0,5:0,53,21
A_dof4_v1000_F100_n00.csv,4,1000,100,1571,1471,479,304,795,78,0,5:0,114,20
A_dof4_v250_F100_n03.csv,4,250,100,338,238,165,550,767,78,0,5:0,62,20
A_dof4_v25_F100_n04.csv,4,25,100,120,20,98,4261,808,78,0,5:0,21,21
A_dof4_v250_F500_n04.csv,4,250,500,796,296,485,581,768,78,0,5:0,95,20
A_dof4_v1000_F250_n03.csv,4,1000,250,1774,1524,562,308,721,78,0,5:0,115,21
A_dof4_v750_F500_n00.csv,4,750,500,1844,1344,780,302,778,78,0,5:0,118,21
A_dof4_v500_F250_n03.csv,4,500,250,918,668,351,372,695,78,0,5:0,94,21
A_dof4_v500_F1000_n03.csv,4,500,1000,2113,1113,1136,416,695,78,0,5:0,126,22
A_dof4_v100_F1000_n03.csv,4,100,1000,1190,190,945,1481,810,78,0,5:0,104,20
A_dof4_v500_F750_n00.csv,4,500,750,1416,666,667,365,728,79,0,5:0,108,21
A_dof4_v50_F1000_n04.csv,4,50,1000,1069,69,909,2820,811,78,0,5:0,107,22
A_dof4_v250_F100_n01.csv,4,250,100,364,264,154,510,789,78,0,5:0,61,22
A_dof4_v750_F250_n02.csv,4,750,250,1111,861,199,341,729,78,0,5:0,99,22
A_dof4_v100_F250_n01.csv,4,100,250,342,92,238,1200,810,78,0,5:0,60,22
A_dof4_v50_F500_n01.csv,4,50,500,551,51,490,2536,806,78,0,5:0,84,21
A_dof4_v250_F100_n00.csv,4,250,100,353,253,156,540,768,79,0,5:0,56,21
A_dof4_v500_F250_n00.csv,4,500,250,884,634,355,366,727,78,0,5:0,95,32
A_dof4_v1000_F750_n02.csv,4,1000,750,1596,846,572,324,726,79,0,5:0,121,22
A_dof4_v50_F100_n01.csv,4,50,100,132,32,100,2190,808,78,0,5:0,23,22
A_dof4_v500_F750_n04.csv,4,500,750,1496,746,745,384,694,78,0,5:0,116,20
A_dof4_v50_F750_n02.csv,4,50,750,836,86,692,2697,806,79,0,5:0,101,21
A_dof4_v500_F250_n04.csv,4,500,250,1066,816,399,353,737,79,0,5:0,79,22
A_dof4_v750_F500_n02.csv,4,750,500,1834,1334,776,340,780,78,0,5:0,127,22
A_dof4_v750_F1000_n01.csv,4,750,1000,1912,912,993,292,727,79,0,5:0,126,23
A_dof4_v1000_F250_n00.csv,4,1000,250,1521,1271,437,309,792,78,0,5:0,111,22
A_dof4_v100_F1000_n00.csv,4,100,1000,1156,156,937,1457,810,78,0,5:0,107,22
A_dof4_v50_F500_n03.csv,4,50,500,553,53,478,2533,805,79,0,5:0,80,21
A_dof4_v25_F500_n03.csv,4,25,500,524,24,484,5016,816,78,0,5:0,81,21
A_dof4_v1000_F1000_n00.csv,4,1000,1000,2285,1285,409,302,796,78,1,5:0,142,22
A_dof4_v100_F750_n00.csv,4,100,750,806,56,687,1407,813,78,0,5:0,94,22
A_dof4_v500_F500_n02.csv,4,500,500,1416,916,687,366,728,78,0,5:0,113,22
A_dof4_v50_F750_n00.csv,4,50,750,799,49,667,2680,810,78,0,5:0,98,22
A_dof4_v1000_F1000_n02.csv,4,1000,1000,2175,1175,1079,334,723,79,0,5:0,137,21
A_dof4_v25_F500_n01.csv,4,25,500,521,21,478,5015,816,78,0,5:0,79,23
A_dof4_v100_F250_n02.csv,4,100,250,347,97,249,1207,805,78,0,5:0,63,22
A_dof4_v100_F750_n04.csv,4,100,750,948,198,722,1393,794,78,0,5:0,103,21
A_dof4_v750_F750_n02.csv,4,750,750,1769,1019,852,339,717,78,0,5:0,119,33
A_dof4_v1000_F100_n01.csv,4,1000,100,1672,1572,526,341,731,80,0,5:0,123,21
A_dof4_v750_F250_n04.csv,4,750,250,1097,847,189,304,778,79,0,5:0,103,20
A_dof4_v50_F250_n00.csv,4,50,250,288,38,223,2323,809,78,0,5:0,52,20
A_dof4_v50_F100_n03.csv,4,50,100,139,39,104,2193,808,78,0,5:0,24,19
A_dof4_v1000_F500_n00.csv,4,1000,500,1502,1002,432,301,791,78,0,5:0,114,19
