t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,58,8,,
0.019667,58,,,
0.031656,58,,,
0.038292,58,,,
0.051270,58,,,
0.063365,58,,,
0.070182,58,,,
0.082069,58,,,
0.094101,58,8,,
0.112775,58,,,
0.124931,58,,,
0.131514,58,,,
0.143394,58,,,
0.149893,58,,,
0.157413,58,,,
0.163876,58,,,
0.175839,58,8,,
0.194396,58,,,
0.206367,58,,,
0.223937,58,,,
0.237968,58,,,
0.248837,58,,,
0.255786,58,,,
0.268843,58,,,
0.279784,72,41,,
0.300169,72,,,
0.311619,102,,,
0.318691,102,,,
0.331075,102,,,
0.342225,118,,,
0.348964,118,,,
0.362278,135,,,
0.373497,135,41,,
0.392708,161,,,
0.403407,161,,,
0.409862,161,,,
0.424012,184,,,
0.435057,184,,,
0.441761,184,,,
0.455263,205,,,
0.466180,205,39,,
0.486007,226,,,
0.497023,226,,,
0.503539,226,,,
0.516647,253,,,
0.527640,253,,,
0.535204,253,,,
0.548367,279,,,
0.559316,279,35,,
0.579197,299,,,
0.590143,299,,,
0.597002,316,,,
0.610242,316,,,
0.621039,316,,,
0.627434,336,,,
0.640263,336,,,
0.652102,336,34,,
0.671416,363,,,
0.682154,363,,,
0.688575,384,,,
0.702557,384,,,
0.713200,384,,,
0.719909,406,,,
0.733993,406,,,
0.744865,427,37,,
0.764375,427,,,
0.775249,448,,,
0.781817,448,,,
0.795929,448,,,
0.806753,477,,,
0.813202,477,,,
0.826132,477,,,
0.837983,497,36,,
0.857537,497,,,
0.868532,518,,,
0.876316,518,,,
0.888246,518,,,
0.900123,545,,,
0.906587,545,,,
0.919492,545,,,
0.930181,564,38,,
0.950939,564,,,
0.961780,593,,,
0.968469,593,,,
0.981445,608,,,
0.992184,608,,,
0.998642,608,,,
1.012615,631,,,
1.023264,631,35,,
1.043671,651,,,
1.054438,651,,,
1.061946,651,,,
1.074952,679,,,
1.085685,679,,,
1.092020,679,,,
1.106015,702,,,
1.116772,702,37,,
1.136055,722,,,
1.147906,722,,,
1.154226,722,,,
1.167090,722,,,
1.178868,722,,,
1.185069,722,,,
1.198968,771,,,
1.209763,771,36,,
1.229001,789,,,
1.240875,789,,,
1.247323,807,,,
1.260266,807,,,
1.271032,807,,,
1.277475,827,,,
1.291411,827,,,
1.302122,827,40,,
1.322386,856,,,
1.333030,856,,,
1.339432,879,,,
1.353378,879,,,
1.364147,879,,,
1.370747,902,,,
1.384922,902,,,
1.395506,922,40,,
1.415631,922,,,
1.426350,947,,,
1.434235,947,,,
1.446229,947,,,
1.455953,971,,,
1.462413,971,,,
1.477542,971,,,
1.488289,991,43,,
1.508902,991,,,
1.519770,1015,,,
1.526325,1015,,,
1.539236,1015,,,
1.550038,1038,,,
1.556517,1038,,,
1.570506,1038,,,
1.581180,1038,44,,
1.601642,1081,,,
1.612391,1081,,,
1.619878,1081,,,
1.632778,1104,,,
1.643531,1104,,,
1.651074,1104,,,
1.662997,1124,,,
1.674901,1124,50,,
1.694227,1152,,,
1.704945,1152,,,
1.711192,1152,,,
1.725033,1173,,,
1.736805,1173,,,
1.743182,1173,,,
1.756038,1195,,,
1.768080,1195,58,,
1.787858,1195,,,
1.798805,1195,,,
1.805220,1195,,,
1.818103,1238,,,
1.830245,1238,,,
1.836867,1260,,,
1.849862,1260,,,
1.860587,1260,69,,
1.880077,1278,,,
1.891081,1278,,,
1.897752,1306,,,
1.911899,1306,,,
1.922990,1306,,,
1.929560,1327,,,
1.942612,1327,,,
1.953634,1327,77,,
1.973583,1344,,,
1.984728,1344,,,
1.991486,1371,,,
2.004491,1371,,,
2.016418,1387,,,
2.023123,1387,,,
2.035147,1387,,,
2.045988,1388,76,,
2.066955,1388,,,
2.077223,1388,,,
2.083862,1388,,,
2.097365,1388,,,
2.109670,1388,,,
2.116194,1388,,,
2.128468,1388,,,
2.139504,1388,74,,
2.159345,1388,,,
2.170237,1388,,,
2.176827,1388,,,
2.189848,1388,,,
2.202229,1388,,,
2.209124,1388,,,
2.220986,1388,,,
2.232070,1388,74,,
2.252320,1388,,,
2.263381,1388,,,
2.269949,1388,,,
2.283054,1388,,,
2.295321,1388,,,
2.302077,1388,,,
2.314769,1388,,,
