trial_file,speed,mu0,final,step,L_band_ms,L_extrap_ms,rise_ms,settle_ms,overshoot_pct,slope_cps,r2
trial_dof2_v250_n03.csv,250,95.82352941176471,1450.1495327102805,1354.3260032985158,79.55500000000002,79.14460569431822,1408.9501213019098,1815.5009999999997,0.06279634944970193,757.0112484629251,0.997984560788766
trial_dof2_v100_n08.csv,100,93.22900763358778,1450.0,1356.7709923664122,81.954,65.95565859489813,3565.8853525404998,4452.437000000001,0.0,303.9536823707102,0.9997436300093033
trial_dof2_v100_n11.csv,100,94.144,1450.0,1355.856,75.54500000000003,53.07063293471764,3567.1460949527277,4417.281,0.0,303.56502778664463,0.9997071450332149
trial_dof2_v100_n07.csv,100,93.56521739130434,1450.0,1356.4347826086957,44.815999999999995,50.633678947861696,3567.8495623188405,4411.522000000001,0.0,303.3446818979289,0.9996981880632682
trial_dof2_v500_n08.csv,500,96.0,1450.0,1354.0,74.13000000000002,84.61962373791776,715.342425700483,971.3649999999999,0.0,1507.1625448397606,0.993567243594596
trial_dof2_v100_n13.csv,100,92.34328358208955,1450.0,1357.6567164179105,66.02300000000002,46.821105118621894,3566.545448507463,4435.905999999999,0.0,303.5040271093783,0.99953978526581
trial_dof2_v100_n01.csv,100,96.0,1450.0,1354.0,65.23799999999999,50.42468169092848,3567.2129199999995,4403.023,0.0,303.90951505556995,0.9997135595045353
trial_dof2_v1000_n11.csv,1000,96.0,1450.0980392156862,1354.0980392156862,80.009,130.39641912772854,418.17155948393605,618.2959999999999,0.06660971053737319,2918.5337283420467,0.9727557855425059
trial_dof2_v1000_n14.csv,1000,94.15384615384616,1450.0,1355.8461538461538,65.46,125.55003006752743,355.2719906980057,601.229,0.0,3021.276293505024,0.9852798103240452
trial_dof2_v500_n14.csv,500,94.0,1449.47,1355.47,73.67999999999999,79.93099021056541,716.1982522042553,973.2669999999999,0.03910082849491119,1493.5427732174069,0.9966788563557668
trial_dof2_v100_n16.csv,100,94.28225806451613,1449.9887640449438,1355.7065059804277,62.61799999999998,50.35987910951476,3569.981132258669,4417.974,0.0008287896389573124,303.88892449515566,0.9997278452153117
trial_dof2_v750_n03.csv,750,95.29508196721312,1449.0,1353.704918032787,63.308,99.16070480735681,479.33990463219834,692.493,0.0,2296.6118556112565,0.9906058982636837
trial_dof2_v500_n12.csv,500,95.25581395348837,1449.0,1353.7441860465117,65.16599999999997,75.25477978510939,717.2366220091478,960.85,0.07386919997938533,1511.3651250858964,0.9942217961158686
trial_dof2_v500_n01.csv,500,95.69718309859155,1449.6559139784947,1353.9587308799032,111.76400000000002,118.18503641496409,713.7432964814099,1007.4879999999999,0.09927082641815851,1482.3786688933956,0.9940113925687499
trial_dof2_v1000_n00.csv,1000,95.3913043478261,1449.96,1354.568695652174,93.34199999999998,124.13664763179722,383.1719586977602,591.6329999999999,0.002952969467576919,3090.7586514627765,0.9825752034827716
trial_dof2_v100_n02.csv,100,95.32876712328768,1450.0,1354.6712328767123,80.445,75.26929818855949,3485.515965890411,4451.373,0.0,304.2759937307125,0.9997528795491016
trial_dof2_v500_n07.csv,500,95.95833333333333,1449.967105263158,1354.0087719298247,66.34500000000001,81.82593162354243,742.816463922491,960.226,0.0762841983194784,1511.1826048487812,0.9947191354492283
trial_dof2_v1000_n07.csv,1000,95.42222222222222,1449.0416666666667,1353.6194444444445,61.66000000000002,125.406974485298,394.1057127769726,593.063,0.07079784035804679,3102.262380627638,0.9850190469823527
trial_dof2_v750_n18.csv,750,95.5923076923077,1449.8867924528302,1354.2944847605224,65.174,100.63333346592613,444.580246517981,692.657,0.08219833719301431,2271.842642551544,0.9907843625833405
trial_dof2_v750_n06.csv,750,95.78947368421052,1449.0,1353.2105263157896,103.388,158.53070550343125,473.26418892793646,747.1979999999999,0.07389833145346349,2427.2532379784034,0.9753686124750165
trial_dof2_v100_n19.csv,100,95.45138888888889,1449.7922077922078,1354.340818903319,65.721,61.70587496164845,3539.528728049628,4412.987,0.015342682203172574,304.1941907966221,0.9997570765950272
trial_dof2_v100_n06.csv,100,96.0,1450.0,1354.0,72.64500000000001,61.88291881686814,3567.3519963636363,4415.081000000001,0.0,303.63556221015045,0.9997116220056341
trial_dof2_v250_n04.csv,250,95.37414965986395,1450.0,1354.6258503401361,78.58800000000002,70.72776040235098,1404.514575192923,1816.083,0.0,758.7326734349812,0.9984542804138367
trial_dof2_v100_n10.csv,100,96.0,1450.445945945946,1354.445945945946,76.77399999999999,55.74532030625998,3564.3392986486483,4418.068,0.04090632451684868,303.4345898925673,0.9996916770013388
trial_dof2_v500_n19.csv,500,95.44776119402985,1449.3203883495146,1353.8726271554847,64.21899999999997,68.66082926651701,713.0553025414264,957.499,0.050197606248476356,1490.0905659059079,0.9950773569502124
trial_dof2_v250_n10.csv,250,95.2578125,1449.0,1353.7421875,70.86299999999999,67.84970716338188,1426.6098613155243,1798.992,0.0,760.7040557432699,0.9983697368538437
trial_dof2_v250_n02.csv,250,96.0,1449.0,1353.0,61.152999999999984,52.57877999820212,1355.5890726168793,1800.966,0.0,754.4869194335115,0.9985002130973377
trial_dof2_v250_n09.csv,250,96.0,1449.0,1353.0,64.057,55.06773735378659,1399.3234670909092,1796.6379999999997,0.0,757.5066011491331,0.9985579448442569
trial_dof2_v1000_n03.csv,1000,93.17272727272727,1449.0,1355.8272727272727,63.56299999999998,125.99000199731991,394.5293592896927,592.16,0.07375570768601525,3064.952296105232,0.9839256513434245
trial_dof2_v250_n17.csv,250,96.0,1449.3655913978494,1353.3655913978494,65.43299999999996,68.74051536307263,1414.7459884916161,1813.055,0.04687636557209806,759.0408020943348,0.9979254828099678
trial_dof2_v1000_n13.csv,1000,95.98484848484848,1449.8532110091744,1353.868362524326,82.46599999999998,149.4992205020138,386.2664862530479,652.552,0.0847046154980221,3148.460452451557,0.9723576148768064
trial_dof2_v1000_n01.csv,1000,96.0,1449.1666666666667,1353.1666666666667,62.16599999999997,125.12935859518906,352.7716698474946,589.8220000000001,0.061583938908726994,3078.1869582788718,0.985037459727613
trial_dof2_v500_n03.csv,500,95.91333333333333,1449.0588235294117,1353.1454901960783,74.72800000000002,81.358722168333,690.7005339772608,965.0229999999999,0.06955471362151214,1505.7712833474034,0.9963352059142042
trial_dof2_v1000_n19.csv,1000,95.89928057553956,1450.0,1354.1007194244605,66.79499999999999,128.16771950194473,386.3577623021583,601.0790000000001,0.0,2975.0213470146296,0.9828228836480787
trial_dof2_v1000_n06.csv,1000,96.0,1449.701923076923,1353.701923076923,73.35600000000001,127.49604266010847,382.8959332520091,605.65,0.09589089746776872,2978.903524277466,0.9675840630605269
trial_dof2_v250_n08.csv,250,96.0,1449.0,1353.0,73.16,67.57473286112631,1431.7247416666667,1799.1130000000003,0.07390983000739099,758.1239289457817,0.9987809010654676
trial_dof2_v250_n14.csv,250,96.0,1449.0,1353.0,65.661,56.039259031400526,1407.7591733333334,1800.9529999999997,0.0,756.3501343796661,0.9983446161170324
trial_dof2_v1000_n08.csv,1000,96.0,1449.0,1353.0,64.65799999999999,116.14591144874503,388.70023709677423,605.3729999999999,0.0,2936.8393897079086,0.989540420440518
trial_dof2_v500_n04.csv,500,95.65116279069767,1449.0,1353.3488372093022,74.84799999999997,87.00002893940723,739.031609469697,962.4480000000001,0.0,1507.2546815137523,0.9924503309557348
trial_dof2_v100_n14.csv,100,96.0,1450.0,1354.0,63.46300000000002,62.23291110434112,3541.4456857142864,4412.675,0.0,304.1540199999804,0.999619530692441
trial_dof2_v1000_n04.csv,1000,95.63829787234043,1450.0,1354.3617021276596,80.69299999999998,145.47527963864263,353.775709826029,614.225,0.0,3082.5545299375185,0.9865182287937738
trial_dof2_v750_n10.csv,750,96.0,1449.734693877551,1353.734693877551,73.49099999999997,103.90454780267933,472.8570584206519,695.865,0.019598088432600733,2264.8768958441237,0.9935464700771228
trial_dof2_v100_n04.csv,100,96.0,1449.8375,1353.8375,76.675,70.79061661120689,3567.798623144737,4418.289,0.012002917632279283,304.208030840159,0.9997001140278214
trial_dof2_v250_n00.csv,250,95.52307692307693,1449.7473684210527,1354.2242914979756,78.13800000000002,71.83462246505026,1424.9464063519601,1831.926,0.092498088153605,757.3623616273419,0.9985321535626567
trial_dof2_v100_n15.csv,100,96.0,1451.0,1355.0,65.82499999999999,57.85202926278451,3562.2483222222218,4432.26,0.0,303.85701954795456,0.9997261614589412
trial_dof2_v250_n01.csv,250,96.0,1450.2808988764045,1354.2808988764045,92.37099999999998,87.76653980288646,1426.3728543411644,1810.6159999999998,0.053098373032660774,767.8315622552905,0.9976638663323756
trial_dof2_v250_n11.csv,250,96.0,1450.0,1354.0,72.10900000000001,65.53645237772973,1433.6654113043476,1798.4030000000002,0.0,757.064457940721,0.998641361473466
trial_dof2_v750_n16.csv,750,96.0,1449.0,1353.0,87.57800000000002,120.90248405348356,480.40346666666665,709.9309999999999,0.0,2289.3909614864665,0.9865170860105154
trial_dof2_v500_n17.csv,500,96.0,1449.857142857143,1353.857142857143,73.45200000000001,82.4757362833482,769.7077917877418,962.58,0.08441489922971164,1510.8791806387385,0.9940751186651126
trial_dof2_v750_n07.csv,750,96.0,1449.0,1353.0,64.35199999999999,90.3269233439217,468.3758885902031,715.813,0.07390983000739099,2194.073810515429,0.9873823375256999
trial_dof2_v750_n13.csv,750,96.0,1449.4827586206898,1353.4827586206898,62.782000000000004,98.87567633572874,475.14094004449385,692.245,0.03821558686402083,2288.001964970176,0.9913718947362647
trial_dof2_v500_n10.csv,500,96.0,1449.7087378640776,1353.7087378640776,66.363,80.44364095435152,740.7669714468611,950.1279999999999,0.02151586436399268,1508.238630127531,0.9951017422434155
trial_dof2_v750_n09.csv,750,96.0,1450.0,1354.0,82.05999999999999,110.97259556254066,510.20870360645375,743.02,0.0,2206.5905203852103,0.9828015886763064
trial_dof2_v250_n05.csv,250,96.0,1450.4347826086957,1354.4347826086957,81.94200000000002,93.27473221944005,1420.8822950524739,1832.5399999999997,0.04173086800204787,764.823437826295,0.9981623619175295
trial_dof2_v1000_n18.csv,1000,96.0,1450.0,1354.0,103.055,124.97409773897661,388.4897026455027,636.711,0.0,2955.6349800658886,0.9879684435249202
trial_dof2_v500_n06.csv,500,96.0,1449.3578947368421,1353.3578947368421,75.99799999999998,84.49741351244708,712.1287275789474,970.2829999999999,0.04744534063421039,1507.5416663032659,0.9965172119036774
trial_dof2_v1000_n16.csv,1000,96.0,1450.0,1354.0,88.346,147.2039405724832,384.3515272727272,616.073,0.0,3020.579919796765,0.9785216446686812
trial_dof2_v100_n00.csv,100,96.0,1449.8181818181818,1353.8181818181818,77.39100000000002,71.5721005614143,3516.527872727272,4432.534,0.0872951920494271,303.8711702873988,0.9997247872751461
trial_dof2_v750_n12.csv,750,96.0,1449.0,1353.0,66.51500000000001,103.47955620870677,478.3695426455027,693.3770000000001,0.07390983000739099,2280.148537234161,0.9886446892247637
trial_dof2_v250_n15.csv,250,96.0,1449.121212121212,1353.121212121212,97.45799999999998,92.47694871189094,1403.542314524556,1848.6930000000002,0.06494524444047128,758.0112573456071,0.9985300350433289
trial_dof2_v500_n18.csv,500,96.0,1449.0,1353.0,94.138,106.30630299180127,715.5031742970946,980.121,0.07390983000739099,1528.2421883470174,0.9944307709970616
trial_dof2_v1000_n12.csv,1000,96.0,1449.6732673267327,1353.6732673267327,110.12100000000002,126.83284845065273,389.076987135785,620.2959999999999,0.024136745635271,2847.1696738521177,0.9583094067685393
trial_dof2_v100_n03.csv,100,96.0,1451.0,1355.0,62.67800000000001,58.32781958887334,3567.8933787878786,4431.966,0.0,304.5420732906619,0.9997511110147755
trial_dof2_v1000_n15.csv,1000,96.0,1450.0,1354.0,81.57600000000001,150.49542802038204,389.1251509090909,621.0490000000001,0.0,3073.678417570948,0.9843497169702118
trial_dof2_v500_n16.csv,500,96.0,1450.0,1354.0,92.28899999999999,103.07249576442764,694.0033241446723,980.297,0.0,1519.2522871688166,0.9954494729909038
trial_dof2_v1000_n10.csv,1000,96.0,1449.798076923077,1353.798076923077,79.77699999999999,135.52369690036414,387.6246569229645,618.947,0.014915302390000938,3046.634766661085,0.9844665939305149
trial_dof2_v250_n06.csv,250,96.0,1449.68,1353.68,72.274,59.587053310797664,1425.7459156043956,1796.183,0.02363926481885943,758.5621249535842,0.9987541624484236
trial_dof2_v500_n00.csv,500,96.0,1449.4466019417475,1353.4466019417475,82.50500000000002,100.68849489685414,713.442915102481,973.8370000000001,0.040888059969157724,1505.5419201542197,0.9935490637592347
trial_dof2_v500_n15.csv,500,96.0,1450.5,1354.5,73.04900000000004,90.45651508787606,741.7678646634614,990.9460000000001,0.03691399040236249,1534.2013983975703,0.9954933940896654
trial_dof2_v1000_n09.csv,1000,96.0,1449.5853658536585,1353.5853658536585,61.608999999999966,124.44865792244802,394.6876999615613,597.638,0.030632286429902848,3059.188591486317,0.9842454268993681
trial_dof2_v750_n15.csv,750,96.0,1450.2616822429907,1354.2616822429907,73.687,96.79484307819897,508.88557304476143,696.75,0.05451810138986512,2209.609813361702,0.9935666472256891
trial_dof2_v750_n11.csv,750,96.0,1449.3589743589744,1353.3589743589744,74.60100000000003,100.7657988346789,470.94310320512824,724.084,0.047365529262423545,2205.3301539178037,0.9902090081279489
trial_dof2_v750_n00.csv,750,96.0,1449.0,1353.0,74.214,100.3181429221996,440.0531511755234,695.215,0.0,2206.36590319247,0.9857766031020189
trial_dof2_v500_n02.csv,500,96.0,1449.2164948453608,1353.2164948453608,73.20599999999999,81.39609100581846,715.6824907216495,970.282,0.05789946823909728,1507.1554380099221,0.9950341134052713
trial_dof2_v100_n09.csv,100,96.0,1451.4157303370787,1355.4157303370787,63.402000000000015,49.274875430060646,3566.626335515388,4430.364,0.043106306784267065,303.4532461343483,0.9997062393121622
trial_dof2_v1000_n02.csv,1000,96.0,1450.0,1354.0,72.52600000000004,133.7039286031732,381.4340027347782,603.488,0.0,3037.036657874824,0.9708303670704154
trial_dof2_v250_n19.csv,250,96.0,1449.0,1353.0,81.56900000000003,71.55008219261835,1423.8112736363635,1799.91,0.07390983000739099,757.6540035441683,0.9985393510892979
trial_dof2_v100_n18.csv,100,96.0,1450.0,1354.0,66.03000000000003,55.1608075956096,3587.0874257309947,4420.691,0.07385524372230429,303.5373477012341,0.9996943384929334
trial_dof2_v750_n17.csv,750,96.0,1449.981308411215,1353.981308411215,82.56499999999997,107.42526881823936,509.9651825163083,712.381,0.07523675418978878,2215.896961238356,0.9869803796402565
trial_dof2_v750_n08.csv,750,96.0,1449.0,1353.0,81.87400000000002,118.44751482050673,478.88346017136536,712.4010000000001,0.07390983000739099,2204.9656574877035,0.9789428493699813
trial_dof2_v250_n12.csv,250,96.0,1449.4125,1353.4125,92.99999999999997,87.85333930337569,1427.5558561323053,1816.4499999999998,0.04340879074192761,760.397130980892,0.9982917301608235
trial_dof2_v750_n19.csv,750,96.0,1448.610294117647,1352.610294117647,82.91500000000002,124.04738616890482,477.8638950729545,702.649,0.10274251855073152,2309.840522221253,0.9645919435741442
trial_dof2_v100_n12.csv,100,96.0,1450.0,1354.0,92.47399999999998,76.58823733132117,3569.4203314285714,4471.937000000001,0.0,303.87652904942524,0.9997896263205228
trial_dof2_v1000_n05.csv,1000,96.0,1450.0,1354.0,118.42800000000001,166.65135663849958,383.56840998738966,647.557,0.0,2913.25166681605,0.9873519215253872
trial_dof2_v250_n16.csv,250,96.0,1450.0,1354.0,72.50600000000001,69.17536286264064,1424.6087869565215,1815.048,0.0,761.4864590579457,0.9985963287154348
trial_dof2_v100_n17.csv,100,96.0,1450.0,1354.0,80.67099999999999,65.26793504733075,3557.5064727272725,4417.819,0.0,304.0403444268389,0.9996922568645723
trial_dof2_v750_n04.csv,750,96.0,1449.4411764705883,1353.4411764705883,65.33799999999998,86.74217119879077,511.33203582591057,685.7769999999999,0.0412890888149992,2180.4187267164643,0.9869201091735532
trial_dof2_v250_n07.csv,250,96.0,1449.0,1353.0,81.61500000000002,74.44822216444794,1426.5518590909091,1808.153,0.0,760.6731091699711,0.9989797175890918
trial_dof2_v750_n14.csv,750,96.0,1449.0,1353.0,73.457,110.31239382170538,475.59167528929606,693.399,0.07390983000739099,2294.864482146012,0.9879916808173423
trial_dof2_v500_n05.csv,500,96.0,1450.0,1354.0,73.42000000000002,83.88450492024904,744.519982264544,970.7759999999998,0.0,1509.8693271894583,0.9949450829196095
trial_dof2_v750_n01.csv,750,96.0,1450.0,1354.0,71.19499999999998,97.37973771834349,469.7500142719383,721.21,0.0,2205.7276096879705,0.9863216276768351
trial_dof2_v250_n18.csv,250,96.0,1450.4646464646464,1354.4646464646464,62.36599999999998,61.61140591214709,1427.880849468599,1785.041,0.03952510216866355,760.8611463980808,0.9974905738862514
trial_dof2_v500_n11.csv,500,96.0,1449.0,1353.0,72.624,83.53129821706165,721.6980154166665,940.4910000000001,0.07390983000739099,1519.2431794294855,0.9943358424415227
trial_dof2_v750_n02.csv,750,96.0,1449.0618556701031,1353.0618556701031,117.43299999999998,118.99023881476947,474.483061793665,710.707,0.06933491813146049,2213.7770645521678,0.9792617520332623
trial_dof2_v750_n05.csv,750,96.0,1449.2424242424242,1353.2424242424242,77.27000000000001,119.29628845007912,471.19795677204917,728.116,0.05598226481850499,2321.8546417198986,0.983525354861092
trial_dof2_v250_n13.csv,250,96.0,1449.0,1353.0,79.25000000000001,72.07354377146744,1426.4212615151516,1801.2759999999998,0.07390983000739099,758.8849504651076,0.9985943928192356
trial_dof2_v100_n05.csv,100,96.0,1449.7710843373493,1353.7710843373493,86.67500000000003,63.54110736812049,3564.424743336423,4418.799,0.016909480878944706,303.28771047801604,0.9997179979673163
trial_dof2_v500_n13.csv,500,96.0,1449.4174757281553,1353.4174757281553,108.25399999999999,89.07893574623229,766.9104598025037,962.6739999999999,0.043040989368878894,1520.0403026522781,0.9925861181741891
trial_dof2_v1000_n17.csv,1000,96.0,1449.6601941747572,1353.6601941747572,79.91799999999999,137.62873559725747,389.9228758820142,621.432,0.025102741936648184,3036.6197962854344,0.9840503444824129
trial_dof2_v500_n09.csv,500,96.0,1450.070796460177,1354.070796460177,80.571,96.64716229603648,743.9885193081257,975.7419999999998,0.0686229658192263,1514.7292473641612,0.9935674864391961
