t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,96,-10,,
0.001296,96,,,
0.002254,96,,,
0.012242,96,,,
0.013190,96,,,
0.014148,96,,,
0.015108,96,,,
0.015757,96,,,
0.016344,96,-10,,
0.023295,96,,,
0.024221,96,,,
0.025143,96,,,
0.025800,96,,,
0.026401,96,,,
0.027042,96,,,
0.027669,96,,,
0.028343,96,-10,,
0.029898,96,,,
0.030490,96,,,
0.031114,96,,,
0.031742,96,,,
0.032340,96,,,
0.032995,96,,,
0.033610,96,,,
0.043281,96,-10,,
0.045442,96,,,
0.046374,96,,,
0.047329,96,,,
0.047944,96,,,
0.048558,96,,,
0.054623,96,,,
0.055264,96,,,
0.055903,96,-10,,
0.057521,96,,,
0.058482,96,,,
0.059095,96,,,
0.059728,96,,,
0.060379,96,,,
0.060976,96,,,
0.061948,96,,,
0.062922,96,-10,,
0.064879,96,,,
0.074167,96,,,
0.075125,96,,,
0.075748,96,,,
0.076341,96,,,
0.077338,96,,,
0.078289,96,,,
0.078937,96,-10,,
0.085341,96,,,
0.085924,96,,,
0.086542,96,,,
0.087154,96,,,
0.088271,96,,,
0.089127,96,,,
0.089732,96,,,
0.090335,96,-10,,
0.091559,96,,,
0.092168,96,,,
0.092839,96,,,
0.093526,96,,,
0.094438,96,,,
0.095398,96,,,
0.105162,96,,,
0.106098,96,-10,,
0.107365,96,,,
0.107948,96,,,
0.108574,96,,,
0.109187,96,,,
0.109808,96,,,
0.110417,96,,,
0.116392,96,,,
0.117278,96,-10,,
0.118473,96,,,
0.119080,96,,,
0.119669,96,,,
0.120291,96,,,
0.120917,96,,,
0.121515,96,,,
0.122147,96,,,
0.122769,96,-10,,
0.123979,96,,,
0.124950,96,,,
0.125534,96,,,
0.126137,96,,,
0.126762,96,,,
0.136493,96,,,
0.137441,96,,,
0.138361,96,-10,,
0.139903,96,,,
0.140851,96,,,
0.141777,96,,,
0.147491,96,,,
0.148115,96,,,
0.148752,96,,,
0.149316,96,,,
0.149969,96,-10,,
0.151219,96,,,
0.151817,96,,,
0.152390,96,,,
0.153055,96,,,
0.153657,96,,,
0.154409,96,,,
0.155289,96,,,
0.156248,96,-10,,
0.157480,96,,,
0.167252,96,,,
0.168113,96,,,
0.168726,96,,,
0.169603,96,,,
0.170241,96,,,
0.171168,96,,,
0.171786,96,-10,,
0.178298,96,,,
0.179204,96,,,
0.179782,96,,,
0.180471,96,,,
0.181119,96,,,
0.181729,96,,,
0.182307,96,,,
0.182968,96,-10,,
0.184206,96,,,
0.184800,96,,,
0.185360,96,,,
0.185975,96,,,
0.186640,96,,,
0.187254,96,,,
0.187864,96,,,
0.188437,96,-10,,
0.198673,96,,,
0.199277,96,,,
0.199877,96,,,
0.200464,96,,,
0.201682,96,,,
0.202305,96,,,
0.202962,96,,,
0.203564,96,-10,,
0.210231,96,,,
0.210838,96,,,
0.211442,96,,,
0.212090,96,,,
0.212691,96,,,
0.213309,96,,,
0.213924,96,,,
0.214527,96,-10,,
0.215785,96,,,
0.216469,96,,,
0.217356,96,,,
0.217957,96,,,
0.218585,96,,,
0.219189,96,,,
0.219812,96,,,
0.229486,96,-10,,
0.231233,96,,,
0.232253,96,,,
0.233126,96,,,
0.234061,96,,,
0.234668,96,,,
0.240735,96,,,
0.241659,96,,,
0.242263,96,-10,,
0.243498,96,,,
0.244114,96,,,
0.244743,96,,,
0.245685,96,,,
0.246292,96,,,
0.246964,96,,,
0.247503,96,,,
0.248135,96,-10,,
0.249340,96,,,
0.249990,96,,,
0.250568,96,,,
0.260220,96,,,
0.261173,96,,,
0.261791,96,,,
0.262365,96,,,
0.263020,96,-6,,
0.264312,96,,,
0.265172,96,,,
0.265799,96,,,
0.271542,96,,,
0.272485,96,,,
0.273116,96,,,
0.273753,96,,,
0.274388,96,-6,,
0.276025,96,,,
0.277005,96,,,
0.277952,96,,,
0.278552,96,,,
0.279513,96,,,
0.280157,96,,,
0.281137,96,,,
0.281786,106,14,,
0.291991,106,,,
0.292617,106,,,
0.293251,106,,,
0.293870,106,,,
0.294523,106,,,
0.295475,106,,,
0.296084,106,,,
0.296708,106,14,,
0.303553,106,,,
