trial_file,dof,speed,fset,f_max,delta_f,f_settle,t_peak_ms,onset_pos,rate_hz,aborted,hold,max_hold_dev_g,f_base_g,mount,temp_c
A_dof4_v100_F250_n04.csv,4,100,250,421,171,280,1147,780,513,0,5:0,34,46,tcp1,34
A_dof4_v50_F100_n04.csv,4,50,100,125,25,86,2001,796,525,0,5:0,14,20,tcp1,34
A_dof4_v250_F250_n01.csv,4,250,250,614,364,316,515,778,538,0,5:0,46,18,tcp1,34
A_dof4_v500_F1000_n01.csv,4,500,1000,1757,757,984,362,699,525,0,5:0,84,19,tcp1,34
A_dof4_v1000_F100_n03.csv,4,1000,100,990,890,72,287,741,581,0,5:0,74,32,tcp1,34
A_dof4_v100_F500_n01.csv,4,100,500,716,216,521,1264,788,545,0,5:0,55,32,tcp1,34
A_dof4_v750_F100_n02.csv,4,750,100,622,522,60,271,723,575,0,5:0,57,34,tcp1,34
A_dof4_v50_F750_n04.csv,4,50,750,831,81,706,2557,788,575,0,5:0,62,33,tcp1,34
A_dof4_v500_F100_n00.csv,4,500,100,667,567,181,342,740,608,0,5:0,64,34,tcp1,34
A_dof4_v1000_F750_n04.csv,4,1000,750,1770,1020,845,273,824,557,0,5:0,107,33,tcp1,34
A_dof4_v500_F500_n04.csv,4,500,500,1189,689,494,343,743,516,0,5:0,76,36,tcp1,34
A_dof4_v250_F500_n03.csv,4,250,500,982,482,626,572,775,561,0,5:0,71,35,tcp1,34
A_dof4_v250_F750_n02.csv,4,250,750,1035,285,662,593,775,589,0,5:0,74,36,tcp1,36
A_dof4_v100_F1000_n04.csv,4,100,1000,1122,122,872,1395,799,562,0,5:0,73,36,tcp1,34
A_dof4_v100_F1000_n01.csv,4,100,1000,1129,129,898,1383,782,584,0,5:0,87,36,tcp1,36
A_dof4_v750_F1000_n00.csv,4,750,1000,2938,1938,343,340,727,530,1,5:0,125,37,tcp1,34
A_dof4_v100_F100_n01.csv,4,100,100,133,33,82,1033,574,626,0,5:0,14,48,tcp1,36
A_dof4_v750_F1000_n02.csv,4,750,1000,2262,1262,324,320,602,580,1,5:0,88,47,tcp1,36
A_dof4_v25_F1000_n02.csv,4,25,1000,1029,29,922,5444,597,601,0,5:0,57,49,tcp1,36
A_dof4_v100_F750_n03.csv,4,100,750,897,147,694,1333,572,579,0,5:0,75,51,tcp1,36
A_dof4_v50_F750_n03.csv,4,50,750,846,96,685,2599,799,600,0,5:0,73,41,tcp1,36
A_dof4_v25_F250_n00.csv,4,25,250,284,34,231,4438,805,592,0,5:0,39,18,tcp1,36
A_dof4_v50_F750_n01.csv,4,50,750,813,63,684,2595,803,591,0,5:0,74,17,tcp1,36
A_dof4_v750_F500_n04.csv,4,750,500,1415,915,460,276,735,585,0,5:0,103,15,tcp1,36
A_dof4_v750_F250_n01.csv,4,750,250,1315,1065,409,276,729,612,0,5:0,68,18,tcp1,36
A_dof4_v100_F250_n03.csv,4,100,250,466,216,279,1197,797,597,0,5:0,54,18,tcp1,36
A_dof4_v500_F100_n04.csv,4,500,100,592,492,178,361,783,605,0,5:0,63,17,tcp1,36
A_dof4_v1000_F500_n04.csv,4,1000,500,2586,2086,278,329,737,618,1,5:0,113,18,tcp1,36
A_dof4_v750_F750_n04.csv,4,750,750,1993,1243,923,311,854,613,0,5:0,115,17,tcp1,36
A_dof4_v500_F500_n00.csv,4,500,500,1155,655,475,372,873,548,0,5:0,64,18,tcp1,36
A_dof4_v50_F250_n02.csv,4,50,250,318,68,244,2273,810,587,0,5:0,43,18,tcp1,36
A_dof4_v1000_F500_n02.csv,4,1000,500,1702,1202,611,319,741,583,0,5:0,117,19,tcp1,36
A_dof4_v1000_F500_n03.csv,4,1000,500,1540,1040,638,295,725,610,0,5:0,114,18,tcp1,36
A_dof4_v250_F750_n04.csv,4,250,750,1191,441,780,597,795,595,0,5:0,86,19,tcp1,36
A_dof4_v750_F1000_n03.csv,4,750,1000,2207,1207,275,314,731,557,1,5:0,111,19,tcp1,36
A_dof4_v500_F100_n01.csv,4,500,100,471,371,84,344,813,595,0,5:0,36,19,tcp1,36
A_dof4_v50_F250_n04.csv,4,50,250,301,51,231,2285,805,599,0,5:0,38,19,tcp1,36
A_dof4_v1000_F1000_n04.csv,4,1000,1000,2603,1603,328,308,734,540,1,5:0,124,18,tcp1,36
