speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,100,5,17.0,16.0,1.3,14.5,17.0,14.0,17.0,117.0,0
25,250,5,22.0,28.2,10.4,19.5,40.0,19.0,46.0,272.0,0
25,500,5,42.0,44.8,8.2,37.0,54.0,33.0,56.0,542.0,0
25,750,5,51.0,191.8,281.8,41.0,413.0,40.0,755.0,801.0,0
25,1000,5,36.0,35.2,3.7,31.5,38.5,29.0,40.0,1036.0,0
50,100,5,34.0,35.2,11.5,23.5,47.5,22.0,54.0,134.0,0
50,250,5,51.0,51.2,29.2,21.0,81.5,10.0,95.0,301.0,0
50,500,5,92.0,94.4,14.3,81.5,108.5,78.0,120.0,592.0,0
50,750,5,81.0,79.2,12.6,65.0,92.5,63.0,96.0,831.0,0
50,1000,5,62.0,55.8,26.5,28.5,80.0,13.0,93.0,1062.0,0
100,100,5,75.0,67.8,17.7,52.5,79.5,33.0,82.0,175.0,0
100,250,5,130.0,140.4,48.9,92.5,193.5,75.0,216.0,380.0,0
100,500,5,110.0,117.4,53.6,70.5,168.0,61.0,216.0,610.0,0
100,750,5,158.0,162.0,28.9,132.5,193.5,118.0,197.0,908.0,0
100,1000,5,129.0,154.2,37.8,123.0,198.0,122.0,217.0,1129.0,0
250,100,5,187.0,213.0,83.3,156.5,282.5,141.0,376.0,287.0,0
250,250,5,364.0,324.4,78.7,229.5,399.5,229.0,407.0,614.0,0
250,500,5,417.0,383.8,106.8,290.0,461.0,177.0,482.0,917.0,0
250,750,5,412.0,383.0,84.0,285.0,466.5,285.0,492.0,1162.0,0
250,1000,5,477.0,479.2,42.2,436.5,523.0,410.0,527.0,1477.0,0
500,100,5,567.0,566.0,144.6,431.5,700.0,371.0,812.0,667.0,0
500,250,5,853.0,764.2,140.0,623.5,860.5,497.0,864.0,1103.0,0
500,500,5,634.0,595.6,95.3,500.0,672.0,418.0,689.0,1134.0,0
500,750,5,820.0,825.8,69.8,755.5,899.0,754.0,942.0,1570.0,0
500,1000,5,595.0,727.2,209.5,580.0,940.5,568.0,1124.0,1595.0,0
750,100,5,1290.0,1281.2,463.1,800.0,1758.0,522.0,1761.0,1390.0,0
750,250,5,1045.0,1032.0,36.5,1000.0,1057.5,961.0,1065.0,1295.0,0
750,500,5,939.0,1107.0,279.2,854.5,1443.5,794.0,1454.0,1439.0,0
750,750,5,1183.0,1223.4,81.0,1159.0,1308.0,1152.0,1373.0,1933.0,0
750,1000,5,1207.0,1319.6,318.9,1095.5,1600.0,1026.0,1938.0,2207.0,3
1000,100,5,890.0,1163.2,367.9,856.5,1606.5,841.0,1708.0,990.0,0
1000,250,5,1551.0,1549.2,33.6,1515.0,1582.5,1492.0,1585.0,1801.0,0
1000,500,5,1366.0,1536.6,422.9,1121.0,2037.5,1040.0,2086.0,1866.0,2
1000,750,5,1020.0,1129.2,339.7,876.0,1437.0,786.0,1777.0,1770.0,1
1000,1000,5,1544.0,1635.4,276.5,1431.5,1885.0,1372.0,2167.0,2544.0,5
