t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,92,-55,,
0.019808,92,,,
0.031578,92,,,
0.038415,92,,,
0.050923,92,,,
0.063236,92,,,
0.070000,92,,,
0.082016,92,,,
0.093971,92,-55,,
0.112810,92,,,
0.125165,92,,,
0.132129,92,,,
0.144489,92,,,
0.155589,92,,,
0.162468,92,,,
0.174629,92,,,
0.186908,92,-55,,
0.205982,92,,,
0.223735,92,,,
0.236903,92,,,
0.248946,92,,,
0.255489,99,,,
0.267345,99,,,
0.273896,99,,,
0.280353,99,-2,,
0.299047,119,,,
0.311065,119,,,
0.317467,147,,,
0.330309,147,,,
0.342177,190,,,
0.348647,190,,,
0.361994,190,,,
0.372938,233,20,,
0.392367,233,,,
0.404225,281,,,
0.410700,281,,,
0.424048,281,,,
0.434865,331,,,
0.441274,331,,,
0.454219,331,,,
0.466412,374,15,,
0.485560,374,,,
0.497111,423,,,
0.504309,423,,,
0.516403,423,,,
0.527250,471,,,
0.533792,471,,,
0.547803,471,,,
0.558653,471,10,,
0.579098,471,,,
0.589647,471,,,
0.597397,471,,,
0.609934,605,,,
0.621163,605,,,
0.627929,605,,,
0.641004,650,,,
0.652075,650,16,,
0.671983,701,,,
0.683005,701,,,
0.690005,701,,,
0.702329,738,,,
0.713338,738,,,
0.720029,738,,,
0.733292,788,,,
0.744338,788,24,,
0.764306,833,,,
0.775805,833,,,
0.783125,833,,,
0.795246,879,,,
0.807219,879,,,
0.813414,911,,,
0.827006,911,,,
0.838389,911,29,,
0.858010,958,,,
0.868659,958,,,
0.875063,1006,,,
0.888126,1006,,,
0.900376,1006,,,
0.907281,1053,,,
0.919650,1053,,,
0.931241,1053,40,,
0.950246,1100,,,
0.961584,1142,,,
0.968360,1142,,,
0.981724,1142,,,
0.992763,1191,,,
0.999314,1191,,,
1.012582,1191,,,
1.023675,1234,46,,
1.043442,1234,,,
1.054499,1281,,,
1.061095,1281,,,
1.074266,1281,,,
1.085326,1331,,,
1.093047,1331,,,
1.105224,1331,,,
1.116296,1370,59,,
1.136164,1370,,,
1.147147,1370,,,
1.154071,1370,,,
1.167731,1370,,,
1.179092,1416,,,
1.186182,1416,,,
1.198649,1417,,,
1.209559,1417,56,,
1.230068,1417,,,
1.241208,1417,,,
1.247816,1417,,,
1.260374,1417,,,
1.272007,1417,,,
1.278544,1417,,,
1.292084,1417,,,
1.302866,1417,60,,
1.321927,1417,,,
1.333596,1417,,,
1.340045,1417,,,
1.352970,1418,,,
1.365144,1418,,,
1.371806,1418,,,
1.384831,1418,,,
1.395732,1418,58,,
1.415214,1418,,,
1.426423,1418,,,
1.433260,1418,,,
1.446610,1418,,,
1.457756,1418,,,
1.464452,1418,,,
1.477709,1418,,,
