angle_set,angle_act,pos_act,force_g,current_mA,stop,w1_pos_p2p,w1_dforce_g,w1_mA_max
1000,999,94,-40,0,detenido,11,19,107
750,750,603,-16,0,detenido,0,3,0
500,501,1087,6,0,detenido,1,1,0
250,251,1498,44,0,detenido,0,1,0
0,0,1895,126,0,detenido,0,1,0
