angle_set,angle_act,pos_act,force_g,current_mA,stop,w1_pos_p2p,w1_dforce_g,w1_mA_max
1000,999,94,-15,0,detenido,25,19,141
750,750,602,-17,0,detenido,36,17,186
500,500,1089,8,0,detenido,19,17,101
250,250,1500,44,0,detenido,13,21,101
0,0,1896,126,0,detenido,13,14,194
