trial_file,dof,speed,force_set,target,t_cmd_s,write_cost_s,rate_hz,latency_ms,baseline_pos,final_pos,delta_pos,force_base_g,force_final_dev_g,max_abs_force_g,settled,aborted,hold,hold_base_g,max_abs_force_hold_g,max_hold_dev_g
trial_dof0_v500_n00.csv,0,500,3000,300,0.215422,0.006567,85.8,75.9,93.0,1417.4,1324.4,-47,102,57,1,0,,,0,0
trial_dof0_v500_n08.csv,0,500,3000,300,0.217412,0.010896,85.7,62.6,92.0,1417.7,1325.7,-51,106,60,1,0,,,0,0
trial_dof0_v500_n06.csv,0,500,3000,300,0.217323,0.011094,86.6,51.5,92.9,1417.8,1324.9,-52,106,57,1,0,,,0,0
trial_dof0_v500_n04.csv,0,500,3000,300,0.217518,0.010667,85.7,93.3,93.3,1417.9,1324.7,-54,107,62,1,0,,,0,0
trial_dof0_v250_n00.csv,0,250,3000,300,0.216436,0.009616,85.8,38.7,94.7,1417.7,1323.0,-51,106,63,1,0,,,0,0
trial_dof0_v500_n07.csv,0,500,3000,300,0.216506,0.009733,86.0,39.2,94.7,1417.2,1322.6,-49,101,60,1,0,,,0,0
trial_dof0_v500_n01.csv,0,500,3000,300,0.217208,0.009866,86.6,49.7,94.3,1418.0,1323.7,-51,103,56,1,0,,,0,0
trial_dof0_v250_n02.csv,0,250,3000,300,0.216750,0.011039,85.9,62.0,93.8,1417.8,1323.9,-52,107,64,1,0,,,0,0
trial_dof0_v250_n03.csv,0,250,3000,300,0.217362,0.010748,86.3,61.3,93.3,1417.8,1324.4,-51,106,63,1,0,,,0,0
trial_dof0_v250_n09.csv,0,250,3000,300,0.216461,0.010933,85.9,63.1,92.1,1417.8,1325.7,-54,110,64,1,0,,,0,0
trial_dof0_v250_n05.csv,0,250,3000,300,0.217582,0.010925,85.8,38.2,91.3,1417.7,1326.4,-55,112,62,1,0,,,0,0
trial_dof0_v250_n07.csv,0,250,3000,300,0.217163,0.010890,86.0,38.6,92.0,1417.6,1325.6,-55,112,64,1,0,,,0,0
trial_dof0_v250_n04.csv,0,250,3000,300,0.217317,0.011246,86.0,38.2,91.9,1417.8,1325.9,-55,114,66,1,0,,,0,0
trial_dof0_v500_n09.csv,0,500,3000,300,0.217050,0.011066,86.6,38.4,92.0,1417.7,1325.7,-55,113,60,1,0,,,0,0
trial_dof0_v250_n06.csv,0,250,3000,300,0.216941,0.010810,86.4,51.4,91.4,1417.5,1326.1,-55,114,60,1,0,,,0,0
trial_dof0_v500_n05.csv,0,500,3000,300,0.217394,0.010864,87.3,50.8,93.2,1417.4,1324.2,-53,110,58,1,0,,,0,0
trial_dof0_v250_n08.csv,0,250,3000,300,0.215417,0.009741,87.6,32.4,93.1,1417.3,1324.2,-55,114,60,1,0,,,0,0
trial_dof0_v250_n01.csv,0,250,3000,300,0.216894,0.011712,86.3,62.9,94.2,1417.3,1323.1,-53,112,62,1,0,,,0,0
trial_dof0_v500_n03.csv,0,500,3000,300,0.215919,0.010789,87.9,63.3,92.0,1417.6,1325.6,-55,112,64,1,0,,,0,0
trial_dof0_v500_n02.csv,0,500,3000,300,0.217144,0.009071,85.9,93.8,92.0,1417.4,1325.4,-55,112,60,1,0,,,0,0
