t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,244,-60,,-95
0.010697,244,,,
0.011633,244,,,
0.012273,244,,,
0.012910,244,,,
0.013869,244,,,
0.014470,244,,,
0.015112,244,,,
0.020875,244,-60,,-95
0.022148,244,,,
0.022765,244,,,
0.023382,244,,,
0.024003,244,,,
0.024647,244,,,
0.025261,244,,,
0.025907,244,,,
0.026882,244,-60,,-95
0.028507,244,,,
0.029461,244,,,
0.030100,244,,,
0.031051,244,,,
0.040643,244,,,
0.041573,244,,,
0.042201,244,,,
0.043175,244,-60,,-95
0.044792,244,,,
0.045371,244,,,
0.046003,244,,,
0.052119,244,,,
0.052756,244,,,
0.053352,244,,,
0.053996,244,,,
0.054618,244,-60,,-95
0.055888,244,,,
0.056503,244,,,
0.057142,244,,,
0.057768,244,,,
0.058734,244,,,
0.059363,244,,,
0.060010,244,,,
0.060637,244,-60,,-95
0.061907,244,,,
0.071640,244,,,
0.072270,244,,,
0.072880,244,,,
0.073504,244,,,
0.074153,244,,,
0.075138,244,,,
0.076102,244,-60,,-95
0.082783,244,,,
0.083385,244,,,
0.084015,244,,,
0.084606,244,,,
0.085233,244,,,
0.085837,244,,,
0.086488,244,,,
0.087133,244,-60,,-95
0.088720,244,,,
0.089323,244,,,
0.089970,244,,,
0.090938,244,,,
0.091578,244,,,
0.092533,244,,,
0.093161,244,,,
0.102779,244,-60,,-95
0.104003,244,,,
0.104599,244,,,
0.105230,244,,,
0.105843,244,,,
0.106483,244,,,
0.107137,244,,,
0.108049,244,,,
0.113877,244,-60,,-95
0.115129,244,,,
0.115721,244,,,
0.116671,244,,,
0.117275,244,,,
0.117882,244,,,
0.118497,244,,,
0.119138,244,,,
0.120238,244,-60,,-95
0.122134,244,,,
0.123081,244,,,
0.123702,244,,,
0.124322,244,,,
0.133989,244,,,
0.134883,244,,,
0.135492,244,,,
0.136112,244,-60,,-95
0.137327,244,,,
0.137931,244,,,
0.138555,244,,,
0.139194,244,,,
0.145176,244,,,
0.146166,244,,,
0.147322,244,,,
0.148215,244,-60,,-95
0.150138,244,,,
0.151061,244,,,
0.152000,244,,,
0.152634,244,,,
0.153221,244,,,
0.153817,244,,,
0.154454,244,,,
0.155110,244,-60,,-95
0.165664,244,,,
0.166230,244,,,
0.166822,244,,,
0.167482,244,,,
0.168109,244,,,
0.168714,244,,,
0.169284,244,,,
0.169944,244,-60,,-95
0.176617,244,,,
0.177475,244,,,
0.178109,244,,,
0.178712,244,,,
0.179315,244,,,
0.179954,244,,,
0.180566,244,,,
0.181173,244,-60,,-95
0.182403,244,,,
0.183032,244,,,
0.183649,244,,,
0.184253,244,,,
0.184871,244,,,
0.185502,244,,,
0.186137,244,,,
0.195799,244,-60,,-95
0.197433,244,,,
0.198373,244,,,
0.199003,244,,,
0.199614,244,,,
0.200216,244,,,
0.206833,244,,,
0.207805,244,,,
0.208392,244,-60,,-95
0.209666,244,,,
0.210599,244,,,
0.211246,244,,,
0.211871,244,,,
0.212492,244,,,
0.213152,244,,,
0.213725,244,,,
0.214363,244,-60,,-95
0.215589,244,,,
0.216201,244,,,
0.216817,244,,,
0.226590,244,,,
0.227230,244,,,
0.227873,244,,,
0.228822,244,,,
0.229462,244,-60,,-95
0.231058,244,,,
0.231654,244,,,
0.232291,244,,,
0.238384,244,,,
0.239330,244,,,
0.239966,244,,,
0.240614,244,,,
0.241249,244,-60,,-95
0.242523,244,,,
0.243132,244,,,
0.243747,244,,,
0.244718,244,,,
0.245351,244,,,
0.246008,244,,,
0.246966,244,,,
0.247545,244,-46,,-95
0.257872,246,,,
0.258827,246,,,
0.259464,246,,,
0.260107,246,,,
0.260739,246,,,
0.261340,246,,,
0.261991,246,,,
0.262601,246,-46,,-98
0.269017,246,,,
0.269612,246,,,
0.270219,246,,,
0.270836,246,,,
0.271486,246,,,
0.272141,246,,,
0.273092,246,,,
0.273728,246,-46,,-98
0.275018,246,,,
0.275637,246,,,
0.276276,246,,,
0.276886,246,,,
0.277528,246,,,
0.278469,246,,,
0.279112,269,,,
0.288682,269,-28,,-99
0.290122,269,,,
0.291025,269,,,
0.291670,269,,,
0.292597,269,,,
0.293533,269,,,
0.294145,269,,,
0.299960,269,,,
0.300467,269,-28,,-99
0.301743,269,,,
0.302348,269,,,
0.303060,269,,,
0.303921,269,,,
0.304521,269,,,
0.305138,269,,,
0.305748,269,,,
0.306338,269,-28,,-99
0.307589,269,,,
0.308165,269,,,
0.308767,300,,,
0.309399,300,,,
0.310025,300,,,
0.319713,300,,,
0.320571,300,,,
0.321186,300,-17,,-101
0.322424,300,,,
0.323035,300,,,
0.323641,300,,,
0.324228,300,,,
0.324849,300,,,
0.331020,300,,,
0.331609,300,,,
0.332214,300,-17,,-101
0.333468,300,,,
0.334073,300,,,
0.334676,300,,,
0.335302,300,,,
0.335903,300,,,
0.336507,300,,,
0.337203,300,,,
0.338093,300,-19,,-101
0.339286,348,,,
0.339939,348,,,
0.340541,348,,,
0.341137,348,,,
0.350800,348,,,
0.351731,348,,,
0.352310,348,,,
0.352951,348,-19,,-101
0.354360,348,,,
0.355209,348,,,
0.356124,348,,,
0.361819,348,,,
0.362384,348,,,
0.363022,348,,,
0.363968,348,,,
0.364596,348,-19,,-101
0.366265,348,,,
0.367136,348,,,
0.367724,348,,,
0.368292,348,,,
0.368964,413,,,
0.369556,413,,,
0.370139,413,,,
0.370787,413,-8,,-102
0.372042,413,,,
0.381712,413,,,
0.382593,413,,,
0.383148,413,,,
0.383829,413,,,
0.384461,413,,,
0.385021,413,,,
0.385628,413,-8,,-102
0.386934,413,,,
0.392721,413,,,
0.393327,413,,,
0.393951,413,,,
0.394567,413,,,
0.395170,413,,,
0.395778,413,,,
0.396388,413,-8,,-102
0.397633,413,,,
0.398223,413,,,
0.398834,484,,,
0.399458,484,,,
0.400057,484,,,
0.400663,484,,,
0.401294,484,,,
0.401918,484,-1,,-103
0.403177,484,,,
0.412781,484,,,
0.413350,484,,,
0.413972,484,,,
0.414580,484,,,
0.415526,484,,,
0.416139,484,,,
0.416770,484,-1,,-103
0.418002,484,,,
0.424079,484,,,
0.425017,484,,,
0.425664,484,,,
0.426278,484,,,
0.427258,484,,,
0.427890,484,,,
0.428516,484,-17,,-103
0.429763,554,,,
0.430391,554,,,
0.431375,554,,,
0.432322,554,,,
0.433277,554,,,
0.433887,554,,,
0.443690,554,,,
0.444655,554,-17,,-102
0.446252,554,,,
0.446848,554,,,
0.447444,554,,,
0.448089,554,,,
0.449068,554,,,
0.454787,554,,,
0.455404,554,,,
0.456031,554,-17,,-102
0.457996,554,,,
0.458637,622,,,
0.459576,622,,,
0.460194,622,,,
0.461176,622,,,
0.462133,622,,,
0.463144,622,,,
0.464112,622,-9,,-104
0.465327,622,,,
0.475034,622,,,
0.475877,622,,,
0.476485,622,,,
0.477093,622,,,
0.477720,622,,,
0.478691,622,,,
0.479324,622,-9,,-104
0.485816,622,,,
0.486442,622,,,
0.487423,622,,,
0.488073,622,,,
0.489216,693,,,
0.490169,693,,,
0.491103,693,,,
0.492072,693,-6,,-105
0.493312,693,,,
0.493913,693,,,
0.494532,693,,,
0.495179,693,,,
0.495911,693,,,
0.505793,693,,,
0.506718,693,,,
0.507664,693,-6,,-105
0.509289,693,,,
0.509923,693,,,
0.510558,693,,,
0.511183,693,,,
0.517272,693,,,
0.518194,693,,,
0.518815,759,,,
0.519766,759,-9,,-104
0.520983,759,,,
0.521629,759,,,
0.522218,759,,,
0.522839,759,,,
0.523466,759,,,
0.524103,759,,,
0.525091,759,,,
0.526029,759,-9,,-104
0.536658,759,,,
0.537520,759,,,
0.538116,759,,,
0.538726,759,,,
0.539324,759,,,
0.539974,759,,,
0.540927,759,,,
0.541907,759,-9,,-104
0.549109,759,,,
0.549973,759,,,
0.550568,759,,,
0.551174,759,,,
0.551807,759,,,
0.552430,759,,,
0.553056,759,,,
0.554012,759,-9,,-104
0.555245,759,,,
0.555863,759,,,
0.556460,759,,,
0.557112,759,,,
0.557732,759,,,
0.567717,759,,,
0.568583,759,,,
0.569476,759,-9,,-104
0.570733,759,,,
0.571370,759,,,
0.571996,759,,,
0.573004,759,,,
0.578832,759,,,
0.579906,861,,,
0.580939,861,,,
0.581899,861,2,,-104
0.583794,861,,,
0.584371,861,,,
0.584998,861,,,
0.585603,861,,,
0.586206,861,,,
0.587172,861,,,
0.587806,861,,,
0.588427,861,2,,-104
0.598977,861,,,
0.600229,861,,,
0.601344,861,,,
0.602395,861,,,
0.603418,861,,,
0.604489,861,,,
0.610412,889,,,
0.611642,889,-7,,-103
0.613858,889,,,
0.615020,889,,,
0.616085,889,,,
0.616929,889,,,
0.617881,889,,,
0.618507,889,,,
0.619128,889,,,
0.619746,889,-7,,-103
0.630021,889,,,
0.630954,889,,,
0.631575,889,,,
0.632168,889,,,
0.632793,889,,,
0.633419,889,,,
0.634038,889,,,
0.634640,889,-7,,-103
0.640985,889,,,
0.641613,891,,,
0.642199,891,,,
0.642855,891,,,
0.643460,891,,,
0.644127,891,,,
0.645072,891,,,
0.646062,891,-7,,-103
0.647316,891,,,
0.647939,891,,,
0.648558,891,,,
0.649177,891,,,
0.649812,891,,,
0.650415,891,,,
0.650983,891,,,
0.660780,891,-7,,-103
0.662238,891,,,
0.662848,891,,,
0.663455,891,,,
0.664042,891,,,
0.664656,891,,,
0.665308,891,,,
0.665880,891,,,
0.671803,891,-7,,-103
0.673103,891,,,
0.674085,891,,,
0.674702,891,,,
0.675303,891,,,
0.675949,891,,,
0.676579,891,,,
0.677540,891,,,
0.678176,891,-7,,-103
0.679458,891,,,
0.680112,891,,,
0.681040,891,,,
0.681985,891,,,
0.691561,891,,,
0.692185,891,,,
0.692852,891,,,
0.693824,891,-7,,-103
0.695097,891,,,
0.696035,891,,,
0.696643,892,,,
0.697616,892,,,
0.703348,892,,,
0.703992,892,,,
0.704624,892,,,
0.705262,892,-4,,-104
0.706872,892,,,
0.707479,892,,,
0.708135,892,,,
0.708768,892,,,
0.709381,892,,,
0.710031,892,,,
0.711018,892,,,
0.711990,892,-4,,-104
0.713252,892,,,
0.723027,892,,,
0.723893,892,,,
0.724832,892,,,
0.725439,892,,,
0.726104,892,,,
0.726681,892,,,
0.727309,892,-6,,-104
0.733780,891,,,
0.734707,891,,,
0.735662,891,,,
0.736269,891,,,
0.736894,891,,,
0.737502,891,,,
0.738088,891,,,
0.738733,891,-6,,-104
0.740288,891,,,
0.740904,891,,,
0.741564,891,,,
0.742196,891,,,
0.742839,891,,,
0.743444,891,,,
0.744130,891,,,
0.753801,891,-6,,-104
0.755394,891,,,
0.756054,891,,,
0.756648,891,,,
0.757252,891,,,
0.757876,891,,,
0.758530,891,,,
0.759461,891,,,
0.764983,891,-6,,-104
0.766537,891,,,
0.767164,891,,,
0.767794,891,,,
0.768361,891,,,
0.769009,891,,,
0.769605,891,,,
0.770231,891,,,
0.770878,891,-6,,-104
0.772178,891,,,
0.773111,891,,,
0.773727,891,,,
0.774399,891,,,
0.775685,891,,,
0.784802,891,,,
0.785820,891,,,
0.786891,891,-6,,-104
0.789142,891,,,
0.790360,891,,,
0.796378,891,,,
0.797581,891,,,
0.798736,891,,,
0.799870,891,,,
0.800996,891,,,
0.802159,891,-6,,-104
0.804658,891,,,
0.806008,891,,,
0.816005,891,,,
0.817043,891,,,
0.818244,891,,,
0.819467,891,,,
0.820784,891,,,
0.827248,891,-6,,-104
0.829861,891,,,
0.831252,891,,,
0.832500,891,,,
0.833666,891,,,
0.834620,891,,,
0.835715,891,,,
0.836851,891,,,
0.847094,891,-6,,-104
0.849539,891,,,
0.850679,891,,,
0.851882,891,,,
0.858306,891,,,
0.859677,891,,,
0.861142,891,,,
0.862351,891,,,
0.863588,891,-6,,-104
0.865564,891,,,
0.866482,891,,,
0.867400,891,,,
0.868338,891,,,
0.877909,891,,,
0.878900,891,,,
0.879915,891,,,
0.880863,891,-7,,-103
0.882466,891,,,
0.883394,891,,,
0.889265,891,,,
0.890209,891,,,
0.891200,891,,,
0.892182,891,,,
0.893157,891,,,
0.894138,891,-7,,-103
0.895781,891,,,
0.896770,891,,,
0.897734,891,,,
0.898670,891,,,
0.899609,891,,,
0.909063,891,,,
