t_s,pos_act,force_g,current_mA,force_hold_g
0.000001,244,-59,,-93
0.010589,244,,,
0.011169,244,,,
0.011810,244,,,
0.012427,244,,,
0.013024,244,,,
0.013664,244,,,
0.014584,244,,,
0.015204,244,-59,,-94
0.021832,244,,,
0.022412,244,,,
0.023038,244,,,
0.023642,244,,,
0.024338,244,,,
0.025245,244,,,
0.026177,244,,,
0.026785,244,-59,,-94
0.028014,244,,,
0.028964,244,,,
0.029570,244,,,
0.030210,244,,,
0.030813,244,,,
0.040640,244,,,
0.041614,244,,,
0.042194,244,-60,,-94
0.043462,244,,,
0.044079,244,,,
0.044686,244,,,
0.045279,244,,,
0.045894,244,,,
0.051824,244,,,
0.052441,244,,,
0.053066,244,-60,,-94
0.054262,244,,,
0.054916,244,,,
0.055545,244,,,
0.056191,244,,,
0.056778,244,,,
0.057674,244,,,
0.058329,244,,,
0.058948,244,-60,,-94
0.060514,244,,,
0.061148,244,,,
0.061758,244,,,
0.062354,244,,,
0.072135,244,,,
0.072983,244,,,
0.073607,244,,,
0.074207,244,-60,,-94
0.075852,244,,,
0.076809,244,,,
0.077429,244,,,
0.083217,244,,,
0.084170,244,,,
0.084771,244,,,
0.085368,244,,,
0.086003,244,-60,,-94
0.087595,244,,,
0.088201,244,,,
0.089160,244,,,
0.089800,244,,,
0.090563,244,,,
0.091468,244,,,
0.092026,244,,,
0.092971,244,-60,,-94
0.103875,244,,,
0.104768,244,,,
0.105684,244,,,
0.106254,244,,,
0.106874,244,,,
0.107529,244,,,
0.108122,244,,,
0.114178,244,-60,,-94
0.116119,244,,,
0.117035,244,,,
0.117686,244,,,
0.118267,244,,,
0.118879,244,,,
0.119504,244,,,
0.120159,244,,,
0.121116,244,-59,,-94
0.122330,244,,,
0.122939,244,,,
0.123521,244,,,
0.124178,244,,,
0.133844,244,,,
0.134443,244,,,
0.135045,244,,,
0.135680,244,-59,,-94
0.136964,244,,,
0.137575,244,,,
0.138224,244,,,
0.138827,244,,,
0.139407,244,,,
0.145208,244,,,
0.145798,244,,,
0.146450,244,-59,,-94
0.148075,244,,,
